condition,food,warning,explanation
obesity,calorie-dense diet,dangerous,Calorie-dense diet is a main driver of the global epidemics of obesity and type 2 diabetes (T2DM).
oral ulcers,eggplant,dangerous,"The most common foods reported as triggers for oral ulcers were eggplant (78.3%), melon (68.3%), walnut (68.2%), and cantaloupe (66.7%)."
flagellate dermatitis,shiitake mushrooms,dangerous,Flagellate dermatitis caused by the intake of shiitake mushrooms is characterized by linear erythematous lesions that are intensely pruritic.
colon cancer,crushed garlic,safe,"Here, we identified Z-ajoene, a sulfur containing compound isolated from crushed garlic, as an inhibitor of colon cancer cell growth."
osteopenia,alcoholics,dangerous,Osteopenia or osteoporosis occurs frequently in alcoholics and patients with alcoholic fatty liver disease.
alzheimer disease,ginger,safe,"Components of ginger (Zingiber officinale) extracts have been described as potential new drug candidates against Alzheimer disease (AD), able to interact with several molecular targets related to the AD treatment."
neural tube birth defect,folic acid,safe,Periconceptional intake of folic acid is known to reduce a woman's risk of having an infant affected by a neural tube birth defect (NTD).
hyperglycemia,zingiber officinale,safe,"[6]-Gingerol, a major component of Zingiber officinale, was previously reported to ameliorate hyperglycemia in type 2 diabetic mice."
alzheimer's disease,phenolic acids,safe,Numerous authors have provided evidence regarding the beneficial effects of phenolic acids and their derivatives against Alzheimer's disease (AD).
coronary heart disease,fruits,safe,"Adequate consumption of fruits and vegetables has protective benefits against development of coronary heart disease, hypertension and chronic obstructive pulmonary disease."
lifestyle-related diseases,grape extract (ge),safe,"Grape extract (GE), which contains various polyphenolic compounds, exerts protective effects against lifestyle-related diseases, such as diabetes and hypertension."
stroke,mediterranean diet,safe,The Mediterranean diet (MD) has been shown to lower stroke risk.
death and disability,salt,dangerous,Diets high in salt are a leading risk for death and disability globally.
allergic reactions,walnut,dangerous,"Jug r 1, the major allergen of walnut, triggers severe allergic reactions through epitopes."
heart disease,fruits,safe,"Nuts, whole grains, fruits, and vegetables contain an abundance of phenolic compounds, terpenoids, pigments, and other natural antioxidants that have been associated with protection from and/or treatment of chronic disease such as heart disease, cancer, diabetes, and hypertension as well as other medical conditions."
Hypertension,potato,safe,potato may support balanced diet for hypertension.
Hypertension,Pancakes/waffles,can worsen,Pancakes/waffles with serving size 140.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Ice Cream,can worsen,Ice Cream with serving size 130.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Pork,can worsen,Pork with serving size 84.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Fish,can worsen,Fish with serving size 85.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,puerto rican style food,can worsen,puerto rican style food with serving size 250.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Macaroni/Noodle/pasta/rice,safe,Macaroni/Noodle/pasta/rice may support balanced diet for prediabetes.
baker's asthma,wheat flour,dangerous,Sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma.
ailments,fruit of terminalia chebula,safe,"The fruit of Terminalia chebula has been used extensively in various traditional health systems for different ailments, with additional preclinical and clinical data demonstrating antioxidant and anti-inflammatory potential."
atherosclerosis,nuts,safe,"Thus, the inclusion of food sources of dietary antioxidants, such as different kinds of nuts, may improve biomarkers related to oxidative stress, contributing to a possible reduction in atherosclerosis progression."
hypercalciuria,calcium,dangerous,"Although calcium supplementation can cause hypercalciuria, the risk of nephrolithiasis has been shown to decrease rather than increase among subjects who had a higher calcium intake."
epilepsy,ketogenic diet,safe,"First identified as a feasible treatment for intractable epilepsy, the ketogenic diet (KD) has recently gained popularity thanks to growing evidence on applications such as weight loss, most importantly, but also NAFLD, cancer, neurologic conditions and chronic pain."
Prediabetes,egg,can worsen,egg with serving size 50.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
chronic diseases,nuts,safe,Nuts have an appreciable antioxidant load and there is evidence of their positive effects on several chronic diseases incidence and death rates.
vascular disease,extra-virgin olive oil,safe,"The authors base their hypothesis on meta-analyses of epidemiological data, numerous experimental studies, and a comprehensive review of the mechanisms of action of extra-virgin olive oil and its components in the prevention of vascular disease."
cancer,tea polyphenols,safe,"Tea polyphenols are known to prevent various ailments like cancer, atherosclerosis, hypertension and diabetes."
ckd,olive oil,safe,"Plant nutrients and plant-based diets could have beneficial effects in patients with CKD: increased fibre intake shifts the gut microbiota towards reduced production of uraemic toxins; plant fats, particularly olive oil, have anti-atherogenic effects; plant anions might mitigate metabolic acidosis and slow CKD progression; and as plant phosphorus has a lower bioavailability than animal phosphorus, plant-based diets might enable better control of hyperphosphataemia."
infections,breast milk,safe,Breast milk is not only a completely adapted nutrition source for the newborn but also an impressive array of immune-active molecules that afford protection against infections and shape mucosal immune responses.
Hypertension,Nuts,safe,Nuts may support balanced diet for hypertension.
hypocitraturic recurrent stone formers,fresh tomato juice,safe,"Fresh tomato juice may be useful in hypocitraturic recurrent stone formers due to its high content of citrate and magnesium, and low content of sodium and oxalate."
malignancies,extra-virgin olive oil,safe,"Epidemiological studies have compellingly documented the ability of the Mediterranean diet rich in extra-virgin olive oil to reduce the incidence of certain malignancies, and cardiovascular diseases, and slow the Alzheimer's disease progression."
behavioral dysfunction,ginger,safe,Our previous study suggests that ginger root extract can reverse behavioral dysfunction and prevent Alzheimer's disease (AD)-like symptoms induced by the amyloid-ÃÂÃÂÃÂÃÂ² protein (AÃÂÃÂÃÂÃÂ²) in a rat model.
colon neoplastic lesions,garlic,safe,Diallyl disulfide (DADS) is a major organosulphur compound present in garlic with an anti-mitotic potential against colon neoplastic lesions in vivo and colon tumour cell growth in vitro.
hypersensitivity,cereals,dangerous,Hypersensitivity to cereals may occur via inhalation or ingestion.
Hypertension,Ice Cream,dangerous,Ice Cream is high in fat/sugar and may worsen hypertension.
cancer,spirulina platensis extracts,safe,Spirulina platensis extracts have exhibited considerable anti-cancer effects.
Prediabetes,fruit juice,safe,fruit juice is nutritious and may help manage prediabetes.
lipemia,whey protein,safe,"Recently, we demonstrated that whey protein (WP) combined with low dietary fiber improved lipemia, a risk factor for cardiovascular disease in subjects with abdominal obesity."
weight loss,very-low-cho diets,dangerous,"Historically, low-carbohydrate (CHO) and very-low-CHO diets have been used for weight loss."
ailments,fruit of terminalia chebula,safe,"The fruit of Terminalia chebula has been used extensively in various traditional health systems for different ailments, with additional preclinical and clinical data demonstrating antioxidant and anti-inflammatory potential."
inflammation,improved nutrition,safe,"The nutrition pyramid described in our narrative review is hypothetical, even in light of several limitations of the present review; the main limitation is the fact that to date there are no randomized controlled trials in the literature clearly showing that improved nutrition, via the regulation of carbon dioxide produced/oxygen consumed, inflammation and oxidative stress, improves symptoms and/or progression of COPD."
cancer,additives to food and water,safe,"Environmental pollutants, such as pesticides, herbicides, additives to food and water, and electromagnetic fields threaten public health by promotion of cancer, heart disease and chronic diseases of aging."
Prediabetes,tomato/salsa/,safe,tomato/salsa/ may support balanced diet for prediabetes.
Hypertension,Pork,can worsen,Pork with serving size 84.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
diabetes,breadfruit,safe,Breadfruit is a traditional staple crop from Pacific islands with the potential to improve worldwide food security and mitigate diabetes.
"stomach, colorectal, breast cancer",garlic,safe,"Evidence supports the protective effects of garlic in stomach, colorectal, breast cancer in humans."
chd,food rich in saturated fat,dangerous,"The basis of this recommendation is the 'diet-heart hypothesis', which postulates that consumption of food rich in saturated fat increases serum cholesterol levels, which increases risk of CHD."
cancer,allium,safe,"Allium vegetables have been shown to have beneficial effects against several diseases, including cancer."
Hypertension,Cereal,safe,Cereal may support balanced diet for hypertension.
Prediabetes,fruit and vegetable smoothie,safe,fruit and vegetable smoothie is nutritious and may help manage prediabetes.
cardiovascular disease,olive oil),safe,Epidemiological studies suggest that a Mediterranean diet (which is rich in virgin olive oil) decreases the risk of cardiovascular disease.
rhythm disorders,added salt,dangerous,"Saturated fat, added salt, and excessive energy drink consumption appear to be harmful for patients with rhythm disorders."
Hypertension,Crackers,can worsen,Crackers with serving size 30.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
coronary heart disease,milk,safe,"Numerous epidemiological studies have revealed that high consumption of milk and dairy products may have protective effects against coronary heart disease (CHD), stroke, diabetes, certain cancers (such as colorectal and bladder cancers), and dementia, although the mechanisms of action are unclear."
bronchitis,flour,dangerous,"Symptoms suggestive of chronic bronchitis or chronic productive cough were found in 29.0% of 100 workers exposed to flour dust in a flour mill, 26.0% presenting with chronic cough and 29.0% with phlegm."
allergy to buckwheat,buckwheat flour,dangerous,"Three cooks, two bakers, and a worker in a grocery store were occupationally exposed to buckwheat flour and developed immediate allergy to buckwheat, which was confirmed by skin prick testing and measurement of specific immunoglobulin E antibodies."
Prediabetes,sugar/desserts,can worsen,sugar/desserts with serving size 200.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Hypertension,Cheese,safe,Cheese may support balanced diet for hypertension.
joints pain,sesame oil,safe,Sesame oil is an herbal product that has been used to treat the joints pain in several traditional medicines.
Hypertension,Cream,can worsen,Cream with serving size 32.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,egg omelet,can worsen,egg omelet with serving size 61.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,egg omelet,safe,egg omelet may support balanced diet for prediabetes.
obesity,ultra-processed food,dangerous,"Ultra-processed food consumption has been associated with several health outcomes such as obesity, hypertension, cardiovascular disease and cancer."
gout,cherries,safe,"Cherries, which are rich in anti-inflammatory and antioxidative bioactive compounds, are proposed to be efficacious in preventing and treating gout, but recommendations to patients are conflicting."
Hypertension,fruit juice,can worsen,fruit juice with serving size 249.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
neurodegenerative diseases,eicosapentaenoic acid,safe,"Omega-3 polyunsaturated fatty acids (n-3 PUFAs), docosahexaenoic acid (DHA) and eicosapentaenoic acid (EPA), have been reported to prevent neurodegenerative diseases such as Alzheimer's disease (AD) in both experimental and clinical/epidemiological studies."
alzheimer's disease,olive oil,safe,Olive oil is a major component of the Mediterranean diet suggested to be beneficial to counteract Alzheimer's disease.
alzheimer's disease,olive oil,safe,Olive oil is a major component of the Mediterranean diet suggested to be beneficial to counteract Alzheimer's disease.
allergy,cicer arietinum,dangerous,Chickpea (Cicer arietinum) allergy has frequently been reported particularly in Spain and India.
Hypertension,coffee/soda drink/iced tea,can worsen,coffee/soda drink/iced tea with serving size 240.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
allergy,almond,dangerous,Oral food challenges have demonstrated that diagnosis of almond allergy based on extract-sIgE tests display low specificity.
inflammatory diseases,extra-virgin olive oil,safe,Current experimental studies support a beneficial role of extra-virgin olive oil (EVOO) in several inflammatory diseases.
inflammation,improved nutrition,safe,"The nutrition pyramid described in our narrative review is hypothetical, even in light of several limitations of the present review; the main limitation is the fact that to date there are no randomized controlled trials in the literature clearly showing that improved nutrition, via the regulation of carbon dioxide produced/oxygen consumed, inflammation and oxidative stress, improves symptoms and/or progression of COPD."
Prediabetes,coffee/soda drink/iced tea,dangerous,coffee/soda drink/iced tea is high in fat/sugar and may worsen prediabetes.
brain disorders,beer,safe,"Beer, as part of this protective diet, contains compounds such as silicon and hops that could play a major role in preventing brain disorders."
inflammation,olives,safe,"Consumption of olives (Olea europaea L.), including table olives and oil, is associated with low incidence of inflammation-related diseases."
baker's asthma,wheat flour,dangerous,Sensitization to wheat flour plays an important role in the development and diagnosis of baker's asthma.
memory impairment,tomato fruit,safe,"ÃÂÃÂÃÂÃÂ²-Amyrin, an ingredient of the surface wax of tomato fruit and dandelion coffee, is previously reported to ameliorate memory impairment induced by cholinergic dysfunction."
Prediabetes,Pork,can worsen,Pork with serving size 84.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
"colon, lung, and skin cancers",garlic,safe,"Diallyl disulfide (DADS), a component of garlic (Allium sativum), has been known to exert potent chemopreventative activity against colon, lung, and skin cancers."
Prediabetes,"Meat substitute, cereal- and vegetable protein-based, fried",dangerous,"Meat substitute, cereal- and vegetable protein-based, fried is high in fat/sugar and may worsen prediabetes."
Prediabetes,Lamb/Goat/Veal/Venison,safe,Lamb/Goat/Veal/Venison may support balanced diet for prediabetes.
calcium oxalate urolithiasis,salt,dangerous,Dietary excesses in animal protein and/or salt have been implicated as risk factors in calcium oxalate urolithiasis.
cognitive decline,bertholletia excelsa,safe,"Previously, supplementation with a selenium-rich Brazil nut (Bertholletia excelsa) has shown potential in reducing cognitive decline in MCI patients, and could prove to be a safe and effective nutritional approach early in the disease process to slow decline."
cancer,psidium guajava,safe,"Psidium Guajava is a promising functional food against cancer, owing to a variety of bioactive compounds."
osteoporosis,gambogic acid,safe,"The nutraceuticals identified from dietary agents such as butein, cardamonin, coronarin D curcumin, diosgenin, embelin, gambogic acid, genistein, plumbagin, quercetin, reseveratrol, zerumbone and more, can modulate cell signaling pathways and reverse/slow down osteoporosis."
Hypertension,Sussages,safe,Sussages may support balanced diet for hypertension.
sci,mediterranean diet,safe,"The Mediterranean diet, along with exercise and dietary supplements, has been suggested as an anti-inflammatory intervention in individuals with SCI."
Prediabetes,Nuts,safe,Nuts may support balanced diet for prediabetes.
Hypertension,Cakes/cookies/pies,can worsen,Cakes/cookies/pies with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
hypersensitivity,chemotherapy drugs,dangerous,"New symptoms of hypersensitivity caused by chemotherapy drugs, monoclonal antibodies, and biological agents have been suggested to be recognized as anaphylaxis phenotypes."
asthma,fruit drinks,dangerous,", HFCS-sweetened soda, fruit drinks and apple juice - a high-fructose 100 % juice - are associated with asthma, possibly because of the high fructose:glucose ratios and underlying fructose malabsorption, which may contribute to enteral formation of pro-inflammatory advanced glycation end products, which bind receptors that are mediators of asthma."
senile dementia of alzheimer 's type,food additives,dangerous,"Aluminum is a constituent of antacids, deodorants, kitchenware and food additives which allows easy access into the body posing risk to development of senile dementia of Alzheimer's type."
heinz body hemolytic anemia,garlic,dangerous,", including garlic (A. sativum) and onions (A. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in Heinz body hemolytic anemia in dogs."
wound,curcuma longa,safe,"Curcumin is a naturally occurring polyphenol found in Curcuma longa with multiple therapeutic properties, such as anti-inflammatory, wound healing and anti-cancer effects."
Prediabetes,Fish,can worsen,Fish with serving size 85.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
inflammation,olives,safe,"Consumption of olives (Olea europaea L.), including table olives and oil, is associated with low incidence of inflammation-related diseases."
allergy,cicer arietinum,dangerous,Chickpea (Cicer arietinum) allergy has frequently been reported particularly in Spain and India.
Prediabetes,Lamb/Goat/Veal/Venison,can worsen,Lamb/Goat/Veal/Venison with serving size 85.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
postmenopausal osteoporosis,tea consumption,safe,"Tea consumption has positive effects on the skeletal system and prevents postmenopausal osteoporosis, mainly by inhibiting osteoclastogenesis."
dementia,tofu,dangerous,"In older people in Indonesia, Hawai'i and China, tofu, which can contain high levels of phytoestrogens, was found to increase dementia risk."
Hypertension,fruit and vegetable smoothie,safe,fruit and vegetable smoothie is nutritious and may help manage hypertension.
alzheimer's disease,extra-virgin olive oil,safe,Previous evidence suggested that extra-virgin olive oil (EVOO) is linked to attenuating amyloid-ÃÂÃÂÃÂÃÂ² (AÃÂÃÂÃÂÃÂ²) pathology and improving cognitive function in Alzheimer's disease (AD) mouse models.
Hypertension,Bread,can worsen,Bread with serving size 25.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
cognitive decline,bertholletia excelsa,safe,"Previously, supplementation with a selenium-rich Brazil nut (Bertholletia excelsa) has shown potential in reducing cognitive decline in MCI patients, and could prove to be a safe and effective nutritional approach early in the disease process to slow decline."
cardiovascular disease,soy foods,safe,"Epidemiological investigations have shown that consumption of soybeans or soy foods reduces the risk of the development of cardiovascular disease, cancer and osteoporosis."
Hypertension,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/,safe,raw apple/apricot/avocado/banana/cantaloupe/cherries/fig/grapes/mango/pear/pineapple/ may support balanced diet for hypertension.
cancer,garlic intake,safe,Numerous animal and in vitro studies provided evidence for a relation between garlic intake and cancer risk reduction.
Hypertension,Cheese,can worsen,Cheese with serving size 32.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
osteoporosis,chicken meat,safe,Proteins and peptides in chicken meat and bones are known for being rich in functional and nutritional ingredients for the improvement of osteoporosis.
chronic diseases,beer,safe,"In beer, the variety and concentration of bioactive compounds in the non-alcoholic fraction suggests that its consumption at moderate levels may not only be harmless but could also positively contribute to an improvement of certain physiological states and be also useful in the prevention of different chronic diseases."
epilepsy,ketogenic diet,safe,"First identified as a feasible treatment for intractable epilepsy, the ketogenic diet (KD) has recently gained popularity thanks to growing evidence on applications such as weight loss, most importantly, but also NAFLD, cancer, neurologic conditions and chronic pain."
Prediabetes,Biscuits,safe,Biscuits may support balanced diet for prediabetes.
hyperglycemia,zingiber officinale,safe,"[6]-Gingerol, a major component of Zingiber officinale, was previously reported to ameliorate hyperglycemia in type 2 diabetic mice."
chd,food rich in saturated fat,dangerous,"The basis of this recommendation is the 'diet-heart hypothesis', which postulates that consumption of food rich in saturated fat increases serum cholesterol levels, which increases risk of CHD."
allergic reactions,rice,dangerous,Allergen Glb33 is an important allergen in rice that can cause allergic reactions such as asthma and atopic dermatitis.
bone disease,mediterranean diet,safe,Mediterranean diet (MD) has shown to prevent bone disease.
ischemic heart disease,mediterranean diet,safe,"With the famous Seven Countries Study, Keys demonstrated for the first time that populations practicing a Mediterranean diet - such as the Greeks and southern Italians - showed low mortality rates from ischemic heart disease compared to the peoples of Northern Europe and North America."
type ii diabetes,processed meat,dangerous,"The intake of processed meat has been associated with several adverse health outcomes such as type II diabetes and cancer; however, the mechanisms are not fully understood."
ra,gastrointestinal ( gi ) protective drugs,safe,Patients with RA commonly use gastrointestinal (GI) protective drugs for treatment and prevention of drug-associated GI injuries.
musculoskeletal diseases,fruit of lycium chinense (lc),safe,"The fruit of Lycium chinense (LC), one of the most popular natural materials, has been used to counter the effects of musculoskeletal diseases in oriental medicine."
brain disorders,beer,safe,"Beer, as part of this protective diet, contains compounds such as silicon and hops that could play a major role in preventing brain disorders."
Hypertension,grapefruit/lemon/orange,can worsen,grapefruit/lemon/orange with serving size 236.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
osteoporotic fractures,virgin olive oil,safe,"Virgin olive oil, a key component of the Mediterranean Diet (MDiet), with recognised beneficial effects on metabolism and cardiovascular health, may decrease the risk of osteoporotic fractures."
neurodegenerative diseases,coffee,safe,"Our findings strongly suggest that some foods, especially coffee, can act as a rich source of ÃÂÃÂÃÂÃÂ²-carbolines, which may possibly be associated with a reduced risk for serious neurodegenerative diseases, such as Parkinson's and Alzheimer's."
Prediabetes,Pork,can worsen,Pork with serving size 84.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
hepatic damage of diabetes,grape seed procyanidin b2 ( gspb2 ),safe,Our previous studies have verified that grape seed procyanidin B2 (GSPB2) played a protective effect on hepatic damage of diabetes.
wound,curcuma longa,safe,"Curcumin is a naturally occurring polyphenol found in Curcuma longa with multiple therapeutic properties, such as anti-inflammatory, wound healing and anti-cancer effects."
Hypertension,Cheese,safe,Cheese may support balanced diet for hypertension.
allergy,hydrolyzed wheat products,dangerous,There are several reports describing allergy to hydrolyzed wheat products.
myocardial infarction,extra virgin olive oil,safe,"In this context, extra virgin olive oil (EVOO), the most representative component of this diet, seems to be relevant in lowering the incidence of cardiovascular events, including myocardial infarction and stroke."
Prediabetes,oil,safe,oil may support balanced diet for prediabetes.
neural tube defects,folic acid fortification,safe,There is no doubt that folic acid fortification can be effective for reducing the incidence of neural tube defects.
allergy,cow's milk protein,dangerous,"Cow's milk protein allergy, which occurs in approximately 5-10% of the population of infants and children, has become an important public food safety problem."
Prediabetes,Nuts,can worsen,Nuts with serving size 28.4g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,tomato/salsa/,can worsen,tomato/salsa/ with serving size 123.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,butter,dangerous,butter is high in fat/sugar and may worsen prediabetes.
skin inflammation,fish oil,safe,Nutritional supplementation with fish oil or ÃÂÃÂÃÂÃÂ-3 (n-3) polyunsaturated fatty acids (PUFAs) has potential benefits for skin inflammation.
coronary heart diseases,excessive consumption of red meat,dangerous,Excessive consumption of red meat is associated with various diseases including coronary heart diseases and cancer.
diabetes,diet,safe,"Prevention of diabetes through the diet has recently received an increasing interest, and polyphenolic compounds, such as flavanols, have become important potential chemopreventive natural agents due to their proved benefits on health, with low toxicity and cost."
bladder cancer,tobacco,dangerous,Tobacco smoking and occupational exposure to aromatic amines are the two major established environmental risk factors for bladder cancer.
joints pain,sesame oil,safe,Sesame oil is an herbal product that has been used to treat the joints pain in several traditional medicines.
urinary tract stones,millet,dangerous,"The predominant urinary tract stones in the tribal Satpura belt are bladder stones and may be related to poor nutrition, low socioeconomic status and consumption of bajra (millet) as staple food as found in this region (93.5%)."
cardiovascular diseases,black mulberry fruits,safe,Black mulberry fruits are traditionally used in Uyghur folk medicine for the prevention and treatment of cardiovascular diseases in southern Xinjiang region of China.
allergy,nickel,dangerous,Nickel is the most common cause of contact allergy in the general population and the most frequently detected allergen in patients patch tested for suspected allergic contact dermatitis (ACD).
memory impairment,tomato fruit,safe,"ÃÂÃÂÃÂÃÂ²-Amyrin, an ingredient of the surface wax of tomato fruit and dandelion coffee, is previously reported to ameliorate memory impairment induced by cholinergic dysfunction."
cvd,cocoa,safe,"The consumption of natural polyphenol-rich foods, and cocoa in particular, has been related to a reduced risk of CVD, including coronary heart disease and stroke."
cancer,sword bean,safe,"Sword bean has been known as a traditional medicinal plant to treat cancer, sinus infection, and suppurative disease."
alzheimer's disease,caffeic acid,safe,"Caffeic acid (CA) has shown neuroprotection in Alzheimer's disease or cerebral ischaemia; however, it is unclear whether CA confers neuroprotection in ÃÂÃÂÃÂÃÂ±-synuclein-induced PD models."
glycemic,bread,dangerous,"Bread is a staple food for majority of the people worldwide, but it has a high glycemic effect."
skin inflammation,star anise,safe,"f. (star anise) has been used in traditional medicine for treatment of skin inflammation, rheumatism, asthma, and bronchitis."
vd,tea,safe,"A high educational level, a vegetable-based diet, and tea were protective factors for VD."
skin inflammation,fish oil,safe,Nutritional supplementation with fish oil or ÃÂÃÂÃÂÃÂ-3 (n-3) polyunsaturated fatty acids (PUFAs) has potential benefits for skin inflammation.
allergy,fruits,dangerous,Severe allergy to fruits mediated by a 7 kDa allergen belonging to the gibberellin-regulated protein (GRP) family is known to be associated with Cupressaceae pollinosis.
Hypertension,butter,can worsen,butter with serving size 14.2g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
alzheimer's disease,docosahexaenoic acid,safe,"Docosahexaenoic acid (DHA) is a fatty acid abundant in the brain, and is reported to have protective effects against Alzheimer's disease, although the mechanistic effects of DHA against Alzheimer's pathophysiology remain unclear."
respiratory symptoms,flour,dangerous,Flour mill workers are at high risk of developing respiratory symptoms due to exposure to flour dust in their working environment.
cardiovascular disease,soy foods,safe,"Epidemiological investigations have shown that consumption of soybeans or soy foods reduces the risk of the development of cardiovascular disease, cancer and osteoporosis."
dementia,nobiletin from citrus peels,safe,"Previously, we identified nobiletin from citrus peels as a natural compound possessing anti-dementia activity."
cd,fish oil,safe,Fish oil rich in eicosapentaenoic acid (EPA) and docosahexaenoic acid (DHA) reduces disease activity in patients with CD with raised laboratory markers of inflammation and in healthy subjects alters PBMC function.
Prediabetes,salad dressing,can worsen,salad dressing with serving size 14.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
cardiovascular disease,ultra-processed foods,dangerous,A high percentage of total calories from ultra-processed foods has been associated with several cardiovascular disease risk factors.
atherosclerosis,nuts,safe,"Thus, the inclusion of food sources of dietary antioxidants, such as different kinds of nuts, may improve biomarkers related to oxidative stress, contributing to a possible reduction in atherosclerosis progression."
Hypertension,dried fruit,safe,dried fruit is nutritious and may help manage hypertension.
colorectal cancer,garlic supplements,safe,"Laboratory studies have provided evidence that allium vegetables and garlic supplements might protect against colorectal cancer (CRC), but epidemiologic studies have produced inconsistent findings."
Hypertension,salad dressing,can worsen,salad dressing with serving size 14.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
neurodegenerative diseases,unbalanced diet,dangerous,"In the last decade, several theories investigating the causes of neurodegenerative diseases have been formulated and a condition or risk factor that can contribute is described by the gut-brain axis hypothesis: stress, unbalanced diet, and drugs impact altering microbiota composition which contributes to dysbiosis."
cardiometabolic diseases,dairy products,dangerous,Dairy products contain both beneficial and harmful nutrients in relation to cardiometabolic diseases.
Prediabetes,Burrito/Taco/Enchilada/Pizza/lasanga,can worsen,Burrito/Taco/Enchilada/Pizza/lasanga with serving size 198.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
alzheimer's disease,extra-virgin olive oil,safe,Previous evidence suggested that extra-virgin olive oil (EVOO) is linked to attenuating amyloid-ÃÂÃÂÃÂÃÂ² (AÃÂÃÂÃÂÃÂ²) pathology and improving cognitive function in Alzheimer's disease (AD) mouse models.
allergies,milk,dangerous,"Allergies to peanuts are particularly worrisome as unlike allergies to other allergenic foods, such as milk and egg, which are commonly outgrown by 5 or 10 years of age, 80% of peanut allergies persist into adulthood."
chronic diseases,milk,safe,"Milk and milk product intake is associated with better diet quality and has been associated with a reduced risk of chronic diseases or conditions including hypertension, cardiovascular disease, metabolic syndrome, Type 2 Diabetes and osteoporosis."
Prediabetes,sugar/desserts,dangerous,sugar/desserts is high in fat/sugar and may worsen prediabetes.
allergic,pistachio,dangerous,"Pistachio and cashew contain allergenic proteins, which causes them to be removed from the diet of allergic people."
murine collagen-induced arthritis,olive oil,safe,"Hydroxytyrosol acetate (HT-AC), a polyphenolic compound in olive oil, exerts an anti-inflammatory effect on murine collagen-induced arthritis."
cancer,oolong tea,safe,"Evidence regarding the health benefits of oolong tea consumption is accumulating, and tea polyphenols have various pharmacological properties such as anti-cancer and anti-diabetes effects."
neurological diseases,cigarette smoke,dangerous,"Exposure to cigarette smoke (CS) is associated with an increased risk of several neurological diseases such as stroke, Alzheimer's disease, and dementia."
cvds,fruits,safe,Accumulating epidemiological studies have indicated that consuming fruits was inversely related to the risk of CVDs.
Hypertension,Chicken/Turkey,can worsen,Chicken/Turkey with serving size 110.0g recorded in NHANES dietary data for Hypertension and Prediabetes patients.
Prediabetes,Cream,dangerous,Cream is high in fat/sugar and may worsen prediabetes.
neurodegenerative diseases,coffee,safe,"Our findings strongly suggest that some foods, especially coffee, can act as a rich source of ÃÂÃÂÃÂÃÂ²-carbolines, which may possibly be associated with a reduced risk for serious neurodegenerative diseases, such as Parkinson's and Alzheimer's."
cardiovascular and neurodegenerative diseases,extra-virgin olive oil,safe,"The phenolic compounds of extra-virgin olive oil can act at various levels to protect individuals against cardiovascular and neurodegenerative diseases, cancer, and osteoporosis, among others."
asthma,cigarette smoke,dangerous,Cigarette smoke and secondhand (passive) smoke have been causally related to asthma and lung cancer.
Hypertension,Seeds,safe,Seeds may support balanced diet for hypertension.
chronic diseases,coffee consumption,safe,"Coffee consumption has been associated with a significant decrease in the risk of developing chronic diseases such as Parkinson disease, diabetes type-2 and several types of cancers (e.g. colon, liver)."
hypersensitivity,cereals,dangerous,Hypersensitivity to cereals may occur via inhalation or ingestion.
carcinogenic,ginger root,safe,"Zingerone, a major component found in ginger root, has been known as anti-mutagenic and anti-carcinogenic activities that are often associated with its anti-oxidative and anti-inflammatory activities."
cognitive decline,red wine,safe,These effects have been related to the protection against cognitive decline associated with aging and disease by a number of polyphenols found in red wine and extra virgin olive oil.
