type,medicine,condition,food,interaction,explanation,safe_alternative
medicine,ibuprofen,,whole wheat roti,safe,Whole wheat roti with ibuprofen generally poses no significant problem when consumed in moderation.,
medicine,ketoconazole,,tempeh,safe,Tempeh with ketoconazole generally poses no significant problem when consumed in moderation.,
medicine,pantoprazole,,kadhi,safe,Kadhi with pantoprazole generally poses no significant problem when consumed in moderation.,
medicine,ranitidine,,quinoa,safe,Quinoa with ranitidine generally poses no significant problem when consumed in moderation.,
medicine,levothyroxine,,edamame,risky,Edamame may reduce levothyroxine absorption; take on an empty stomach.,
medicine,fluconazole,,buttermilk,safe,Buttermilk with fluconazole generally poses no significant problem when consumed in moderation.,
medicine,atorvastatin,,papaya,safe,Papaya with atorvastatin generally poses no significant problem when consumed in moderation.,
medicine,omeprazole,,coffee,safe,Coffee with omeprazole generally poses no significant problem when consumed in moderation.,
medicine,citalopram,,pomegranate juice,safe,Pomegranate juice with citalopram generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,leafy greens salad,safe,Leafy greens salad with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,cetirizine,,upma,safe,Upma with cetirizine generally poses no significant problem when consumed in moderation.,
medicine,rivaroxaban,,grapefruit juice,safe,Grapefruit juice with rivaroxaban generally poses no significant problem when consumed in moderation.,
medicine,cyclosporine,,spinach,safe,Spinach with cyclosporine generally poses no significant problem when consumed in moderation.,
medicine,telmisartan,,ramen,safe,Ramen with telmisartan generally poses no significant problem when consumed in moderation.,
medicine,rosuvastatin,,leafy greens salad,safe,Leafy greens salad with rosuvastatin generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,avocado,safe,Avocado with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,enoxaparin,,poha,safe,Poha with enoxaparin generally poses no significant problem when consumed in moderation.,
medicine,valproate,,mutton curry,safe,Mutton curry with valproate generally poses no significant problem when consumed in moderation.,
medicine,insulin,,pasta,safe,Pasta with insulin generally poses no significant problem when consumed in moderation.,
medicine,fenofibrate,,coffee,safe,Coffee with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,levetiracetam,,paneer butter masala,safe,Paneer butter masala with levetiracetam generally poses no significant problem when consumed in moderation.,
medicine,citalopram,,dark chocolate,safe,Dark chocolate with citalopram generally poses no significant problem when consumed in moderation.,
medicine,fenofibrate,,black tea,safe,Black tea with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,theophylline,,orange juice,safe,Orange juice with theophylline generally poses no significant problem when consumed in moderation.,
medicine,pravastatin,,laddu,safe,Laddu with pravastatin generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,peda,safe,Peda with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,calcium supplements,,raisins,safe,Raisins with calcium supplements generally poses no significant problem when consumed in moderation.,
medicine,insulin,,mango,safe,Mango with insulin generally poses no significant problem when consumed in moderation.,
medicine,metformin,,chole,safe,Chole with metformin generally poses no significant problem when consumed in moderation.,
medicine,isocarboxazid,,quinoa,safe,Quinoa with isocarboxazid generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,sauerkraut,safe,Sauerkraut with ibuprofen generally poses no significant problem when consumed in moderation.,
medicine,telmisartan,,dried apricots,risky,Dried apricots is potassium-rich; ARBs can raise serum potassium.,
medicine,aspirin,,idli,safe,Idli with aspirin generally poses no significant problem when consumed in moderation.,
medicine,rosuvastatin,,soy sauce,safe,Soy sauce with rosuvastatin generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,pasta,safe,Pasta with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,tacrolimus,,maggi noodles,safe,Maggi noodles with tacrolimus generally poses no significant problem when consumed in moderation.,
medicine,cetirizine,,orange juice,safe,Orange juice with cetirizine generally poses no significant problem when consumed in moderation.,
medicine,insulin,,spinach,safe,Spinach with insulin generally poses no significant problem when consumed in moderation.,
medicine,tetracycline,,ghee,safe,Ghee with tetracycline generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,raisins,safe,Raisins with tranylcypromine generally poses no significant problem when consumed in moderation.,
medicine,levothyroxine,,turmeric latte,safe,Turmeric latte with levothyroxine generally poses no significant problem when consumed in moderation.,
medicine,gliclazide,,ice cream,safe,Ice cream with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,phenelzine,,dates,safe,Dates with phenelzine generally poses no significant problem when consumed in moderation.,
medicine,valproate,,multigrain roti,safe,Multigrain roti with valproate generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,raisins,safe,Raisins with fexofenadine generally poses no significant problem when consumed in moderation.,
medicine,telmisartan,,orange juice,safe,Orange juice with telmisartan generally poses no significant problem when consumed in moderation.,
medicine,valproate,,apple juice,safe,Apple juice with valproate generally poses no significant problem when consumed in moderation.,
medicine,insulin,,licorice,safe,Licorice with insulin generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,pakora,safe,Pakora with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,whole wheat roti,safe,Whole wheat roti with ciprofloxacin generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,raisins,risky,Raisins is high in potassium; ACE inhibitors may increase hyperkalemia risk.,
medicine,calcium supplements,,beetroot,safe,Beetroot with calcium supplements generally poses no significant problem when consumed in moderation.,
medicine,apixaban,,carrot,safe,Carrot with apixaban generally poses no significant problem when consumed in moderation.,
medicine,azithromycin,,bhujia,safe,Bhujia with azithromycin generally poses no significant problem when consumed in moderation.,
medicine,cyclosporine,,kheer,safe,Kheer with cyclosporine generally poses no significant problem when consumed in moderation.,
medicine,clopidogrel,,spinach,safe,Spinach with clopidogrel generally poses no significant problem when consumed in moderation.,
medicine,losartan,,curd rice,safe,Curd rice with losartan generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,st johns wort,safe,St johns wort with tranylcypromine generally poses no significant problem when consumed in moderation.,
medicine,diclofenac,,dates,safe,Dates with diclofenac generally poses no significant problem when consumed in moderation.,
medicine,rivaroxaban,,paratha,safe,Paratha with rivaroxaban generally poses no significant problem when consumed in moderation.,
medicine,atorvastatin,,kimchi,safe,Kimchi with atorvastatin generally poses no significant problem when consumed in moderation.,
medicine,amoxicillin,,idli,safe,Idli with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,gliclazide,,pickles,safe,Pickles with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,carbamazepine,,mysore pak,safe,Mysore pak with carbamazepine generally poses no significant problem when consumed in moderation.,
medicine,sertraline,,pomegranate juice,safe,Pomegranate juice with sertraline generally poses no significant problem when consumed in moderation.,
medicine,amlodipine,,tonic water,safe,Tonic water with amlodipine generally poses no significant problem when consumed in moderation.,
medicine,naproxen,,gulab jamun,safe,Gulab jamun with naproxen generally poses no significant problem when consumed in moderation.,
medicine,cetirizine,,garlic,safe,Garlic with cetirizine generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,pasta,safe,Pasta with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,orange juice,safe,Orange juice with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,enoxaparin,,veg biryani,safe,Veg biryani with enoxaparin generally poses no significant problem when consumed in moderation.,
medicine,gliclazide,,cheese,safe,Cheese with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,gulab jamun,safe,Gulab jamun with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,metoprolol,,biryani,safe,Biryani with metoprolol generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,dried apricots,safe,Dried apricots with loratadine generally poses no significant problem when consumed in moderation.,
medicine,azithromycin,,spring rolls,safe,Spring rolls with azithromycin generally poses no significant problem when consumed in moderation.,
medicine,theophylline,,jalebi,safe,Jalebi with theophylline generally poses no significant problem when consumed in moderation.,
medicine,valproate,,quinoa,safe,Quinoa with valproate generally poses no significant problem when consumed in moderation.,
medicine,omeprazole,,ice cream,safe,Ice cream with omeprazole generally poses no significant problem when consumed in moderation.,
medicine,metronidazole,,grapes,safe,Grapes with metronidazole generally poses no significant problem when consumed in moderation.,
medicine,carbamazepine,,rasam,safe,Rasam with carbamazepine generally poses no significant problem when consumed in moderation.,
medicine,levothyroxine,,tofu,risky,Tofu may reduce levothyroxine absorption; take on an empty stomach.,
medicine,tetracycline,,raisins,safe,Raisins with tetracycline generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,spinach,safe,Spinach with ramipril generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,apple juice,safe,Apple juice with lisinopril generally poses no significant problem when consumed in moderation.,
medicine,isocarboxazid,,fermented tofu,dangerous,Tyramine in fermented tofu can cause severe hypertension with MAOIs like isocarboxazid.,
medicine,rosuvastatin,,barfi,safe,Barfi with rosuvastatin generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,fermented tofu,safe,Fermented tofu with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,lithium,,tomato,safe,Tomato with lithium generally poses no significant problem when consumed in moderation.,
medicine,venlafaxine,,carrot,safe,Carrot with venlafaxine generally poses no significant problem when consumed in moderation.,
medicine,lithium,,papaya,safe,Papaya with lithium generally poses no significant problem when consumed in moderation.,
medicine,phenytoin,,grapefruit juice,safe,Grapefruit juice with phenytoin generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,mysore pak,safe,Mysore pak with tranylcypromine generally poses no significant problem when consumed in moderation.,
medicine,calcium supplements,,apple juice,safe,Apple juice with calcium supplements generally poses no significant problem when consumed in moderation.,
medicine,bupropion,,carrot,safe,Carrot with bupropion generally poses no significant problem when consumed in moderation.,
medicine,atorvastatin,,chips,safe,Chips with atorvastatin generally poses no significant problem when consumed in moderation.,
medicine,cyclosporine,,avocado,safe,Avocado with cyclosporine generally poses no significant problem when consumed in moderation.,
medicine,rivaroxaban,,sauerkraut,safe,Sauerkraut with rivaroxaban generally poses no significant problem when consumed in moderation.,
medicine,pravastatin,,maggi noodles,safe,Maggi noodles with pravastatin generally poses no significant problem when consumed in moderation.,
medicine,enoxaparin,,mango,safe,Mango with enoxaparin generally poses no significant problem when consumed in moderation.,
medicine,cyclosporine,,brown rice,safe,Brown rice with cyclosporine generally poses no significant problem when consumed in moderation.,
medicine,nitrofurantoin,,kale,safe,Kale with nitrofurantoin generally poses no significant problem when consumed in moderation.,
medicine,isocarboxazid,,idli,safe,Idli with isocarboxazid generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,pasta,safe,Pasta with ciprofloxacin generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,raisins,safe,Raisins with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,tacrolimus,,edamame,safe,Edamame with tacrolimus generally poses no significant problem when consumed in moderation.,
medicine,digoxin,,white rice,safe,White rice with digoxin generally poses no significant problem when consumed in moderation.,
medicine,rivaroxaban,,chole,safe,Chole with rivaroxaban generally poses no significant problem when consumed in moderation.,
medicine,ketoconazole,,quinoa,safe,Quinoa with ketoconazole generally poses no significant problem when consumed in moderation.,
medicine,tetracycline,,black tea,safe,Black tea with tetracycline generally poses no significant problem when consumed in moderation.,
medicine,fenofibrate,,beer,safe,Beer with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,grapes,safe,Grapes with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,insulin,,energy drink,safe,Energy drink with insulin generally poses no significant problem when consumed in moderation.,
medicine,phenelzine,,aged cheese,dangerous,Aged cheese contains tyramine; MAOIs can cause dangerous BP spikes.,
medicine,rivaroxaban,,licorice,safe,Licorice with rivaroxaban generally poses no significant problem when consumed in moderation.,
medicine,ranitidine,,upma,safe,Upma with ranitidine generally poses no significant problem when consumed in moderation.,
medicine,omeprazole,,barfi,safe,Barfi with omeprazole generally poses no significant problem when consumed in moderation.,
medicine,warfarin,,paneer butter masala,safe,Paneer butter masala with warfarin generally poses no significant problem when consumed in moderation.,
medicine,lithium,,amla,safe,Amla with lithium generally poses no significant problem when consumed in moderation.,
medicine,pravastatin,,red wine,safe,Red wine with pravastatin generally poses no significant problem when consumed in moderation.,
medicine,metronidazole,,butter chicken,safe,Butter chicken with metronidazole generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,beetroot,safe,Beetroot with fexofenadine generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,coffee,safe,Coffee with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,atenolol,,turmeric latte,safe,Turmeric latte with atenolol generally poses no significant problem when consumed in moderation.,
medicine,lithium,,curd rice,safe,Curd rice with lithium generally poses no significant problem when consumed in moderation.,
medicine,ketoconazole,,beer,safe,Beer with ketoconazole generally poses no significant problem when consumed in moderation.,
medicine,diclofenac,,aged cheese,safe,Aged cheese with diclofenac generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,fish curry,safe,Fish curry with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,venlafaxine,,rasmalai,safe,Rasmalai with venlafaxine generally poses no significant problem when consumed in moderation.,
medicine,insulin,,dal makhani,safe,Dal makhani with insulin generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,carrot,safe,Carrot with lisinopril generally poses no significant problem when consumed in moderation.,
medicine,amitriptyline,,avocado,safe,Avocado with amitriptyline generally poses no significant problem when consumed in moderation.,
medicine,pantoprazole,,pomegranate juice,safe,Pomegranate juice with pantoprazole generally poses no significant problem when consumed in moderation.,
medicine,clopidogrel,,yogurt,safe,Yogurt with clopidogrel generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,khichdi,safe,Khichdi with lisinopril generally poses no significant problem when consumed in moderation.,
medicine,rosuvastatin,,bread,safe,Bread with rosuvastatin generally poses no significant problem when consumed in moderation.,
medicine,valproate,,alcohol,safe,Alcohol with valproate generally poses no significant problem when consumed in moderation.,
medicine,dabigatran,,tonic water,safe,Tonic water with dabigatran generally poses no significant problem when consumed in moderation.,
medicine,phenytoin,,multigrain roti,safe,Multigrain roti with phenytoin generally poses no significant problem when consumed in moderation.,
medicine,amitriptyline,,chips,safe,Chips with amitriptyline generally poses no significant problem when consumed in moderation.,
medicine,losartan,,mutton curry,safe,Mutton curry with losartan generally poses no significant problem when consumed in moderation.,
medicine,cyclosporine,,french fries,safe,French fries with cyclosporine generally poses no significant problem when consumed in moderation.,
medicine,ramipril,,ramen,safe,Ramen with ramipril generally poses no significant problem when consumed in moderation.,
medicine,losartan,,mango,safe,Mango with losartan generally poses no significant problem when consumed in moderation.,
medicine,tranylcypromine,,sweet potato,safe,Sweet potato with tranylcypromine generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,mutton curry,safe,Mutton curry with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,gliclazide,,gulab jamun,safe,Gulab jamun with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,theophylline,,poha,safe,Poha with theophylline generally poses no significant problem when consumed in moderation.,
medicine,levetiracetam,,dried apricots,safe,Dried apricots with levetiracetam generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,leafy greens salad,safe,Leafy greens salad with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,ketoconazole,,st johns wort,safe,St johns wort with ketoconazole generally poses no significant problem when consumed in moderation.,
medicine,ranitidine,,laddu,safe,Laddu with ranitidine generally poses no significant problem when consumed in moderation.,
medicine,levothyroxine,,orange juice,safe,Orange juice with levothyroxine generally poses no significant problem when consumed in moderation.,
medicine,aspirin,,mysore pak,safe,Mysore pak with aspirin generally poses no significant problem when consumed in moderation.,
medicine,dabigatran,,beetroot,safe,Beetroot with dabigatran generally poses no significant problem when consumed in moderation.,
medicine,sertraline,,mutton curry,safe,Mutton curry with sertraline generally poses no significant problem when consumed in moderation.,
medicine,warfarin,,sauerkraut,safe,Sauerkraut with warfarin generally poses no significant problem when consumed in moderation.,
medicine,theophylline,,rajma,safe,Rajma with theophylline generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,ice cream,risky,Minerals in dairy can bind ciprofloxacin and reduce absorption; separate dosing.,
medicine,gliclazide,,spinach,safe,Spinach with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,paracetamol,,ghee,safe,Ghee with paracetamol generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,broccoli,safe,Broccoli with ciprofloxacin generally poses no significant problem when consumed in moderation.,
medicine,calcium supplements,,poha,safe,Poha with calcium supplements generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,oats,safe,Oats with loratadine generally poses no significant problem when consumed in moderation.,
medicine,nitrofurantoin,,st johns wort,safe,St johns wort with nitrofurantoin generally poses no significant problem when consumed in moderation.,
medicine,gliclazide,,mutton curry,safe,Mutton curry with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,theophylline,,halwa,safe,Halwa with theophylline generally poses no significant problem when consumed in moderation.,
medicine,digoxin,,alcohol,safe,Alcohol with digoxin generally poses no significant problem when consumed in moderation.,
medicine,ranitidine,,barfi,safe,Barfi with ranitidine generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,red wine,safe,Red wine with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,phenytoin,,tofu,safe,Tofu with phenytoin generally poses no significant problem when consumed in moderation.,
medicine,paracetamol,,chole,safe,Chole with paracetamol generally poses no significant problem when consumed in moderation.,
medicine,apixaban,,sambar,safe,Sambar with apixaban generally poses no significant problem when consumed in moderation.,
medicine,carbamazepine,,paneer,safe,Paneer with carbamazepine generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,energy drink,safe,Energy drink with ciprofloxacin generally poses no significant problem when consumed in moderation.,
medicine,cetirizine,,rasmalai,safe,Rasmalai with cetirizine generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,orange juice,risky,Fruit juices can inhibit OATP transporters and reduce fexofenadine levels.,
medicine,levetiracetam,,mutton curry,safe,Mutton curry with levetiracetam generally poses no significant problem when consumed in moderation.,
medicine,metronidazole,,yogurt,safe,Yogurt with metronidazole generally poses no significant problem when consumed in moderation.,
medicine,citalopram,,energy drink,safe,Energy drink with citalopram generally poses no significant problem when consumed in moderation.,
medicine,atenolol,,whole wheat roti,safe,Whole wheat roti with atenolol generally poses no significant problem when consumed in moderation.,
medicine,calcium supplements,,mutton curry,safe,Mutton curry with calcium supplements generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,sauerkraut,safe,Sauerkraut with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,gliclazide,,jalebi,safe,Jalebi with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,fluoxetine,,soy sauce,safe,Soy sauce with fluoxetine generally poses no significant problem when consumed in moderation.,
medicine,simvastatin,,grapefruit juice,dangerous,Grapefruit inhibits CYP3A4 raising simvastatin levels and myopathy risk.,
medicine,telmisartan,,black tea,safe,Black tea with telmisartan generally poses no significant problem when consumed in moderation.,
medicine,doxycycline,,buttermilk,risky,Minerals in dairy can bind doxycycline and reduce absorption; separate dosing.,
medicine,amoxicillin,,grapefruit juice,safe,Grapefruit juice with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,garlic,safe,Garlic with loratadine generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,cheese,safe,Cheese with fexofenadine generally poses no significant problem when consumed in moderation.,
medicine,rivaroxaban,,spring rolls,safe,Spring rolls with rivaroxaban generally poses no significant problem when consumed in moderation.,
medicine,pantoprazole,,mysore pak,safe,Mysore pak with pantoprazole generally poses no significant problem when consumed in moderation.,
medicine,ibuprofen,,upma,safe,Upma with ibuprofen generally poses no significant problem when consumed in moderation.,
medicine,nitrofurantoin,,ramen,safe,Ramen with nitrofurantoin generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,green tea,safe,Green tea with fexofenadine generally poses no significant problem when consumed in moderation.,
medicine,phenytoin,,dosa,safe,Dosa with phenytoin generally poses no significant problem when consumed in moderation.,
medicine,digoxin,,amla,safe,Amla with digoxin generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,sambar,safe,Sambar with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,pomegranate juice,safe,Pomegranate juice with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,iron supplements,,paneer butter masala,safe,Paneer butter masala with iron supplements generally poses no significant problem when consumed in moderation.,
medicine,phenelzine,,kadhi,safe,Kadhi with phenelzine generally poses no significant problem when consumed in moderation.,
medicine,diphenhydramine,,oats,safe,Oats with diphenhydramine generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,rasgulla,safe,Rasgulla with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,bupropion,,soy sauce,safe,Soy sauce with bupropion generally poses no significant problem when consumed in moderation.,
medicine,aspirin,,sauerkraut,safe,Sauerkraut with aspirin generally poses no significant problem when consumed in moderation.,
medicine,amoxicillin,,spinach,safe,Spinach with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,metoprolol,,rasmalai,safe,Rasmalai with metoprolol generally poses no significant problem when consumed in moderation.,
medicine,dabigatran,,coconut water,safe,Coconut water with dabigatran generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,kale,safe,Kale with fexofenadine generally poses no significant problem when consumed in moderation.,
medicine,naproxen,,red wine,risky,Red wine with naproxen may increase gastric irritation or bleeding risk.,
medicine,clopidogrel,,rasam,safe,Rasam with clopidogrel generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,biryani,safe,Biryani with loratadine generally poses no significant problem when consumed in moderation.,
medicine,lisinopril,,green tea,safe,Green tea with lisinopril generally poses no significant problem when consumed in moderation.,
medicine,dabigatran,,edamame,safe,Edamame with dabigatran generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,dates,safe,Dates with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,azithromycin,,paneer,safe,Paneer with azithromycin generally poses no significant problem when consumed in moderation.,
medicine,metformin,,aged cheese,safe,Aged cheese with metformin generally poses no significant problem when consumed in moderation.,
medicine,phenelzine,,pasta,safe,Pasta with phenelzine generally poses no significant problem when consumed in moderation.,
medicine,ketoconazole,,mysore pak,safe,Mysore pak with ketoconazole generally poses no significant problem when consumed in moderation.,
medicine,magnesium supplements,,milk,safe,Milk with magnesium supplements generally poses no significant problem when consumed in moderation.,
medicine,tacrolimus,,st johns wort,safe,St johns wort with tacrolimus generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,idli,safe,Idli with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,digoxin,,biryani,safe,Biryani with digoxin generally poses no significant problem when consumed in moderation.,
medicine,lithium,,coconut water,risky,High electrolytes/fluids can alter lithium balance; monitor levels.,
medicine,tetracycline,,momos,safe,Momos with tetracycline generally poses no significant problem when consumed in moderation.,
medicine,diphenhydramine,,grapefruit juice,safe,Grapefruit juice with diphenhydramine generally poses no significant problem when consumed in moderation.,
medicine,sertraline,,pasta,safe,Pasta with sertraline generally poses no significant problem when consumed in moderation.,
medicine,paracetamol,,pickles,safe,Pickles with paracetamol generally poses no significant problem when consumed in moderation.,
medicine,phenelzine,,leafy greens salad,safe,Leafy greens salad with phenelzine generally poses no significant problem when consumed in moderation.,
medicine,rivaroxaban,,ramen,safe,Ramen with rivaroxaban generally poses no significant problem when consumed in moderation.,
medicine,amoxicillin,,kheer,safe,Kheer with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,magnesium supplements,,chips,safe,Chips with magnesium supplements generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,kadhi,safe,Kadhi with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,fexofenadine,,oats,safe,Oats with fexofenadine generally poses no significant problem when consumed in moderation.,
medicine,fluoxetine,,mango,safe,Mango with fluoxetine generally poses no significant problem when consumed in moderation.,
medicine,azithromycin,,tomato,safe,Tomato with azithromycin generally poses no significant problem when consumed in moderation.,
medicine,lithium,,black tea,safe,Black tea with lithium generally poses no significant problem when consumed in moderation.,
medicine,theophylline,,broccoli,safe,Broccoli with theophylline generally poses no significant problem when consumed in moderation.,
medicine,isocarboxazid,,pakora,safe,Pakora with isocarboxazid generally poses no significant problem when consumed in moderation.,
medicine,metronidazole,,gulab jamun,safe,Gulab jamun with metronidazole generally poses no significant problem when consumed in moderation.,
medicine,clarithromycin,,potato,safe,Potato with clarithromycin generally poses no significant problem when consumed in moderation.,
medicine,pantoprazole,,papaya,safe,Papaya with pantoprazole generally poses no significant problem when consumed in moderation.,
medicine,iron supplements,,carrot,safe,Carrot with iron supplements generally poses no significant problem when consumed in moderation.,
medicine,heparin,,cranberry,safe,Cranberry with heparin generally poses no significant problem when consumed in moderation.,
medicine,venlafaxine,,ramen,safe,Ramen with venlafaxine generally poses no significant problem when consumed in moderation.,
medicine,fluconazole,,rasmalai,safe,Rasmalai with fluconazole generally poses no significant problem when consumed in moderation.,
medicine,loratadine,,grapes,safe,Grapes with loratadine generally poses no significant problem when consumed in moderation.,
medicine,esomeprazole,,dal makhani,safe,Dal makhani with esomeprazole generally poses no significant problem when consumed in moderation.,
medicine,lithium,,grapes,safe,Grapes with lithium generally poses no significant problem when consumed in moderation.,
medicine,diclofenac,,papaya,safe,Papaya with diclofenac generally poses no significant problem when consumed in moderation.,
medicine,pravastatin,,curd rice,safe,Curd rice with pravastatin generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,halwa,safe,Halwa with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,bupropion,,curd rice,safe,Curd rice with bupropion generally poses no significant problem when consumed in moderation.,
medicine,aspirin,,rasgulla,safe,Rasgulla with aspirin generally poses no significant problem when consumed in moderation.,
medicine,cetirizine,,mango,safe,Mango with cetirizine generally poses no significant problem when consumed in moderation.,
medicine,insulin,,sambar,safe,Sambar with insulin generally poses no significant problem when consumed in moderation.,
medicine,amitriptyline,,kathi roll,safe,Kathi roll with amitriptyline generally poses no significant problem when consumed in moderation.,
medicine,ciprofloxacin,,papaya,safe,Papaya with ciprofloxacin generally poses no significant problem when consumed in moderation.,
medicine,omeprazole,,chips,safe,Chips with omeprazole generally poses no significant problem when consumed in moderation.,
medicine,diphenhydramine,,sweet potato,safe,Sweet potato with diphenhydramine generally poses no significant problem when consumed in moderation.,
medicine,tetracycline,,paneer butter masala,safe,Paneer butter masala with tetracycline generally poses no significant problem when consumed in moderation.,
medicine,paracetamol,,tonic water,safe,Tonic water with paracetamol generally poses no significant problem when consumed in moderation.,
medicine,naproxen,,raisins,safe,Raisins with naproxen generally poses no significant problem when consumed in moderation.,
medicine,phenelzine,,beetroot,safe,Beetroot with phenelzine generally poses no significant problem when consumed in moderation.,
medicine,gliclazide,,aged cheese,safe,Aged cheese with gliclazide generally poses no significant problem when consumed in moderation.,
medicine,rosuvastatin,,white rice,safe,White rice with rosuvastatin generally poses no significant problem when consumed in moderation.,
medicine,fenofibrate,,veg biryani,safe,Veg biryani with fenofibrate generally poses no significant problem when consumed in moderation.,
medicine,sertraline,,tempeh,safe,Tempeh with sertraline generally poses no significant problem when consumed in moderation.,
medicine,sitagliptin,,paratha,safe,Paratha with sitagliptin generally poses no significant problem when consumed in moderation.,
medicine,glimepiride,,pomegranate juice,safe,Pomegranate juice with glimepiride generally poses no significant problem when consumed in moderation.,
medicine,amoxicillin,,chips,safe,Chips with amoxicillin generally poses no significant problem when consumed in moderation.,
medicine,ranitidine,,tomato,safe,Tomato with ranitidine generally poses no significant problem when consumed in moderation.,
medicine,apixaban,,sauerkraut,safe,Sauerkraut with apixaban generally poses no significant problem when consumed in moderation.,
medicine,rosuvastatin,,energy drink,safe,Energy drink with rosuvastatin generally poses no significant problem when consumed in moderation.,
medicine,itraconazole,,paneer,safe,Paneer with itraconazole generally poses no significant problem when consumed in moderation.,
medicine,warfarin,,brown rice,safe,Brown rice with warfarin generally poses no significant problem when consumed in moderation.,
