medicine,use,side_effect,condition,age_grp,risk_level,food_allergies,allergens_medicine,food_name,ingredients,main_ingredient,allergens,alternative_food
bupropion,anti-depressant,vomiting,Fever,Adult,safe,wheat,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
bupropion,anti-depressant,vomiting,Cold,Senior,cautious,wheat,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
nitrofurantoin,urinary antiseptic,rashes,Fever,Adult,safe,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Asthma,Adult,safe,sesame,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
metronidazole,antibiotic,headache,Hypertension,Senior,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
nitrofurantoin,urinary antiseptic,rashes,Asthma,Senior,safe,sesame,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
bupropion,anti-depressant,vomiting,Fever,Senior,cautious,wheat,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
metronidazole,antibiotic,headache,Flu,Child,cautious,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
gliclazide,treatment of diabetes,stomach pain,Flu,Senior,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
fexofenadine,anti-allergy,fatigue,Flu,Adult,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
bupropion,anti-depressant,vomiting,Asthma,Child,cautious,wheat,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Cold,Senior,cautious,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Fever,Child,dangerous,peanuts,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Fever,Senior,safe,sesame,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Fever,Child,cautious,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Asthma,Senior,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Senior,dangerous,sesame,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Asthma,Senior,safe,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Child,cautious,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Cold,Senior,dangerous,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
metronidazole,antibiotic,headache,Flu,Child,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
fexofenadine,anti-allergy,fatigue,Fever,Senior,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Cold,Adult,cautious,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
gliclazide,treatment of diabetes,stomach pain,Fever,Child,cautious,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
pravastatin,cholesterol control,dizziness,Asthma,Child,cautious,eggs,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
nitrofurantoin,urinary antiseptic,rashes,Fever,Senior,safe,sesame,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Flu,Child,cautious,sesame,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
bupropion,anti-depressant,vomiting,Hypertension,Child,dangerous,wheat,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Fever,Senior,safe,wheat,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Fever,Child,dangerous,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Asthma,Adult,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Asthma,Adult,safe,wheat,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
metronidazole,antibiotic,headache,Asthma,Child,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
bupropion,anti-depressant,vomiting,Flu,Child,dangerous,wheat,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Asthma,Child,cautious,wheat,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
gliclazide,treatment of diabetes,stomach pain,Flu,Child,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Senior,dangerous,sesame,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
dabigatran,blood thinner,nausea,Hypertension,Senior,cautious,peanuts,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
bupropion,anti-depressant,vomiting,Cold,Senior,cautious,wheat,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
metronidazole,antibiotic,headache,Fever,Senior,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
fexofenadine,anti-allergy,fatigue,Cold,Adult,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Flu,Senior,safe,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
nitrofurantoin,urinary antiseptic,rashes,Fever,Adult,safe,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Senior,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
magnesium supplements,treatment of kidney stone,tiredness,Flu,Child,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Adult,cautious,eggs,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Adult,safe,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
pravastatin,cholesterol control,dizziness,Cold,Child,cautious,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
metronidazole,antibiotic,headache,Hypertension,Child,cautious,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Senior,safe,sesame,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
bupropion,anti-depressant,vomiting,Fever,Child,safe,wheat,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
metronidazole,antibiotic,headache,Hypertension,Senior,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
pravastatin,cholesterol control,dizziness,Cold,Adult,cautious,eggs,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
metronidazole,antibiotic,headache,Hypertension,Senior,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
pravastatin,cholesterol control,dizziness,Flu,Senior,dangerous,eggs,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
phenytoin,anti-seizure,diarrhea,Flu,Child,cautious,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
fexofenadine,anti-allergy,fatigue,Asthma,Adult,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
metronidazole,antibiotic,headache,Hypertension,Child,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Senior,dangerous,peanuts,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
bupropion,anti-depressant,vomiting,Flu,Child,safe,wheat,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Flu,Adult,cautious,sesame,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Cold,Child,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Hypertension,Child,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Fever,Child,dangerous,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
pravastatin,cholesterol control,dizziness,Cold,Adult,safe,eggs,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Senior,cautious,eggs,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
bupropion,anti-depressant,vomiting,Fever,Child,safe,wheat,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
metronidazole,antibiotic,headache,Asthma,Adult,safe,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
pravastatin,cholesterol control,dizziness,Fever,Senior,dangerous,eggs,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Child,dangerous,peanuts,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
gliclazide,treatment of diabetes,stomach pain,Fever,Adult,cautious,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Hypertension,Senior,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Child,safe,sesame,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
gliclazide,treatment of diabetes,stomach pain,Asthma,Child,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
magnesium supplements,treatment of kidney stone,tiredness,Flu,Adult,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
metronidazole,antibiotic,headache,Flu,Senior,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
dabigatran,blood thinner,nausea,Cold,Child,cautious,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Cold,Child,dangerous,eggs,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Adult,safe,sesame,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
metronidazole,antibiotic,headache,Asthma,Child,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
gliclazide,treatment of diabetes,stomach pain,Flu,Child,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
bupropion,anti-depressant,vomiting,Cold,Senior,cautious,wheat,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Asthma,Child,dangerous,eggs,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Flu,Senior,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
dabigatran,blood thinner,nausea,Hypertension,Adult,safe,peanuts,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Cold,Adult,safe,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
metronidazole,antibiotic,headache,Flu,Adult,cautious,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
pravastatin,cholesterol control,dizziness,Asthma,Adult,dangerous,eggs,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
phenytoin,anti-seizure,diarrhea,Asthma,Senior,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
phenytoin,anti-seizure,diarrhea,Fever,Senior,dangerous,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Cold,Adult,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
pravastatin,cholesterol control,dizziness,Fever,Child,dangerous,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
metronidazole,antibiotic,headache,Asthma,Child,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
gliclazide,treatment of diabetes,stomach pain,Asthma,Adult,dangerous,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
dabigatran,blood thinner,nausea,Fever,Adult,cautious,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Asthma,Child,safe,eggs,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
pravastatin,cholesterol control,dizziness,Cold,Child,cautious,eggs,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
dabigatran,blood thinner,nausea,Cold,Adult,safe,peanuts,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
bupropion,anti-depressant,vomiting,Flu,Senior,safe,wheat,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
fexofenadine,anti-allergy,fatigue,Hypertension,Adult,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Adult,dangerous,sesame,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Child,safe,sesame,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Flu,Adult,dangerous,wheat,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
bupropion,anti-depressant,vomiting,Fever,Child,dangerous,wheat,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
gliclazide,treatment of diabetes,stomach pain,Flu,Senior,dangerous,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
pravastatin,cholesterol control,dizziness,Fever,Adult,cautious,eggs,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
fexofenadine,anti-allergy,fatigue,Flu,Child,dangerous,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
nitrofurantoin,urinary antiseptic,rashes,Flu,Senior,dangerous,sesame,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Fever,Senior,safe,wheat,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
fexofenadine,anti-allergy,fatigue,Fever,Senior,safe,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Child,cautious,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
magnesium supplements,treatment of kidney stone,tiredness,Asthma,Adult,cautious,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
nitrofurantoin,urinary antiseptic,rashes,Flu,Senior,dangerous,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
gliclazide,treatment of diabetes,stomach pain,Cold,Senior,safe,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
dabigatran,blood thinner,nausea,Asthma,Senior,dangerous,peanuts,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
metronidazole,antibiotic,headache,Flu,Adult,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
bupropion,anti-depressant,vomiting,Fever,Child,safe,wheat,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
phenytoin,anti-seizure,diarrhea,Flu,Child,dangerous,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
dabigatran,blood thinner,nausea,Asthma,Adult,cautious,peanuts,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
bupropion,anti-depressant,vomiting,Cold,Adult,dangerous,wheat,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
nitrofurantoin,urinary antiseptic,rashes,Flu,Child,dangerous,sesame,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Fever,Child,safe,peanuts,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
nitrofurantoin,urinary antiseptic,rashes,Hypertension,Adult,safe,sesame,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
phenytoin,anti-seizure,diarrhea,Asthma,Adult,dangerous,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
magnesium supplements,treatment of kidney stone,tiredness,Hypertension,Child,safe,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
dabigatran,blood thinner,nausea,Cold,Child,safe,peanuts,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
dabigatran,blood thinner,nausea,Fever,Child,cautious,peanuts,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
dabigatran,blood thinner,nausea,Fever,Child,safe,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
bupropion,anti-depressant,vomiting,Fever,Child,safe,wheat,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
dabigatran,blood thinner,nausea,Fever,Senior,cautious,peanuts,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
gliclazide,treatment of diabetes,stomach pain,Flu,Adult,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Senior,dangerous,eggs,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Cold,Adult,cautious,sesame,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
metronidazole,antibiotic,headache,Asthma,Child,safe,No allergens reported,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
phenytoin,anti-seizure,diarrhea,Hypertension,Child,dangerous,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
bupropion,anti-depressant,vomiting,Fever,Adult,cautious,wheat,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
phenytoin,anti-seizure,diarrhea,Cold,Senior,dangerous,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Hypertension,Child,dangerous,eggs,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
pravastatin,cholesterol control,dizziness,Cold,Child,cautious,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
fexofenadine,anti-allergy,fatigue,Hypertension,Senior,safe,No allergens reported,additive stimulation,chole,"chickpeas, tomato, onion",chickpeas,additive stimulation,"Red Kidney Beans, Black Beans, Green Peas"
dabigatran,blood thinner,nausea,Fever,Child,dangerous,peanuts,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
metronidazole,antibiotic,headache,Flu,Adult,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Hypertension,Adult,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
phenytoin,anti-seizure,diarrhea,Fever,Adult,cautious,No allergens reported,increases side effects,halwa,"semolina, ghee, sugar",semolina,increases side effects,"Brown Rice Kheer, Fruit Salad, Millet Halwa"
gliclazide,treatment of diabetes,stomach pain,Fever,Child,cautious,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Asthma,Senior,cautious,sesame,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
fexofenadine,anti-allergy,fatigue,Flu,Child,safe,No allergens reported,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
dabigatran,blood thinner,nausea,Fever,Child,safe,peanuts,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
phenytoin,anti-seizure,diarrhea,Hypertension,Senior,safe,No allergens reported,reduced absorption,rasmalai,"milk, sugar, saffron",milk,reduced absorption,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Adult,dangerous,eggs,disulfiram-like reaction,aged cheese,"milk, rennet",milk,disulfiram-like reaction,"Vegan Cheese, Nutritional Yeast, Cottage Cheese"
metronidazole,antibiotic,headache,Asthma,Child,safe,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Flu,Senior,cautious,No allergens reported,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
gliclazide,treatment of diabetes,stomach pain,Cold,Senior,cautious,No allergens reported,reduced effectiveness,biryani,"rice, spices, chicken",rice,reduced effectiveness,No alternative available
pravastatin,cholesterol control,dizziness,Flu,Child,cautious,eggs,hypertensive crisis,beer,"barley, hops, yeast",barley,hypertensive crisis,No alternative available
nitrofurantoin,urinary antiseptic,rashes,Flu,Adult,cautious,sesame,reduced absorption,dark chocolate,"cocoa, sugar, milk",cocoa,reduced absorption,"Carob Bar, Milk Chocolate"
fexofenadine,anti-allergy,fatigue,Fever,Child,safe,No allergens reported,additive stimulation,ramen,"noodles, soy sauce, onion",noodles,additive stimulation,"Brown Rice Noodles, Millet Pasta, Quinoa Pasta"
magnesium supplements,treatment of kidney stone,tiredness,Fever,Senior,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
metronidazole,antibiotic,headache,Flu,Adult,dangerous,No allergens reported,no major risk,kadhi,"turmeric, curd, gram flour",curd,no major risk,No alternative available
metronidazole,antibiotic,headache,Fever,Adult,dangerous,No allergens reported,no major risk,red wine,"grapes, yeast",grapes,no major risk,No alternative available
