condition,food,warning,explanation
cvd,cocoa,safe,"the consumption of natural polyphenol-rich foods, and cocoa in particular, has been related to a reduced risk of cvd, including coronary heart disease and stroke."
haemotoxicity,fava beans,dangerous,"fava beans (fbs) have long been used as food, and their principal disadvantage is derived from their haemotoxicity."
cancer,garlic,safe,"epidemiological evidence indicates that a high dietary intake of plants of the allium family, such as garlic and onions, is associated with a decreased risk of cancer in humans."
inflammation,improved nutrition,safe,"the nutrition pyramid described in our narrative review is hypothetical, even in light of several limitations of the present review; the main limitation is the fact that to date there are no randomized controlled trials in the literature clearly showing that improved nutrition, via the regulation of carbon dioxide produced/oxygen consumed, inflammation and oxidative stress, improves symptoms and/or progression of copd."
prediabetes,bread,can worsen,bread with serving size 25.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
degenerative diseases,dark tea,safe,dark tea has a significant effect on the prevention and treatment of age-related degenerative diseases.
osteoporosis,milk,safe,biologically active peptides in milk proteins can be used as effective dietary supplements for management of bone-associated issues including osteoporosis.
hypertension,milk,can worsen,milk with serving size 244.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hemolytic anemia,garlic,dangerous,"we recently identified sodium n-propyl thiosulfate (npts) and sodium 2-propenyl thiosulfate (2pts) from boiled onion and garlic, respectively, as causative agents of hemolytic anemia in dogs."
alzheimer's disease,phenolic acids,safe,numerous authors have provided evidence regarding the beneficial effects of phenolic acids and their derivatives against alzheimer's disease (ad).
hypertension,burrito/taco/enchilada/pizza/lasanga,can worsen,burrito/taco/enchilada/pizza/lasanga with serving size 198.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
allergies,mustard,dangerous,"peanuts and nuts cause a great part of allergies in the united states; in spain and portugal are commonly due to fish, milk; in italy seafood and mustard in france."
diabetes,beans,safe,vegetables and beans are nutrient-dense foods with innate potential to mediate diabetes in a variety of cultures.
hypertension,raw vegetables,can worsen,raw vegetables with serving size 120.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
metabolic diseases,excessive sugar consumption,safe,"since excessive sugar consumption has been related to the development of chronic metabolic diseases prevalent in the western world, the use of sweeteners has gradually increased worldwide over the last few years."
heart disease,fruits,safe,"nuts, whole grains, fruits, and vegetables contain an abundance of phenolic compounds, terpenoids, pigments, and other natural antioxidants that have been associated with protection from and/or treatment of chronic disease such as heart disease, cancer, diabetes, and hypertension as well as other medical conditions."
prediabetes,tomato/salsa/,safe,tomato/salsa/ may support balanced diet for prediabetes.
urinary stones,bombax ceiba l. (bombacaceae) fruits,safe,"interestingly, many indian tribes use bombax ceiba l. (bombacaceae) fruits as a traditional medicine for the treatment of urinary stones."
ad,olive oil,safe,"it has been previously demonstrated that daily intake of hydroxytyrosol (ht), a polyphenol in olive oil, at a daily dietary level mildly improves cognition in ad mice."
prediabetes,puerto rican style food,safe,puerto rican style food may support balanced diet for prediabetes.
osteoporosis,mollusks,safe,"in vitro cell cultures and in vivo animal osteoporosis models have demonstrated the potential for seafood-derived sbps, including fish, mollusks, crustaceans, seaweed and microalgae, in preventing osteoporosis."
alzheimer's disease,extra virgin olive oil,safe,"consumption of extra virgin olive oil (evoo), a major component of the mediterranean diet, has been associated with reduced incidence of alzheimer's disease (ad)."
prediabetes,cheese,can worsen,cheese with serving size 32.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
inflammatory diseases,extra-virgin olive oil,safe,current experimental studies support a beneficial role of extra-virgin olive oil (evoo) in several inflammatory diseases.
t2d,dark chocolate,safe,"while it could be suggested that daily consumption of flavanols from cocoa or dark chocolate would constitute a potential preventive tool useful for the nutritional management of t2d, this recommendation should be cautious since most of commercially available soluble cocoa products or chocolates contain low amount of flavanols and are rich in sugar and calories that may aggravate glycaemic control in t2d patients."
vd,tea,safe,"a high educational level, a vegetable-based diet, and tea were protective factors for vd."
bone diseases,dairy products,safe,"however, milk is a food of high nutritional value, and complete exclusion of dairy products may favor the development of bone diseases such as osteopenia and osteoporosis."
allergic,pistachio,dangerous,"pistachio and cashew contain allergenic proteins, which causes them to be removed from the diet of allergic people."
ischemic heart disease,mediterranean diet,safe,"with the famous seven countries study, keys demonstrated for the first time that populations practicing a mediterranean diet - such as the greeks and southern italians - showed low mortality rates from ischemic heart disease compared to the peoples of northern europe and north america."
prediabetes,beef,can worsen,beef with serving size 65.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
chronic diseases,milk,safe,"milk and milk product intake is associated with better diet quality and has been associated with a reduced risk of chronic diseases or conditions including hypertension, cardiovascular disease, metabolic syndrome, type 2 diabetes and osteoporosis."
alzheimer's disease,walnuts,safe,our previous study has shown beneficial effects of walnuts on memory and learning skills in transgenic mouse model of alzheimer's disease (ad-tg).
iron-deficiency anemia,iron fortifiers,safe,"iron-deficiency anemia (ida) is a major global public health problem, and the iron fortifiers in diet are clearly needed in the prevention and improvement of ida for humans."
hypertension,tomato/salsa/,can worsen,tomato/salsa/ with serving size 123.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
chronic kidney disease,sodium,dangerous,"current dietary guidelines recommend that patients with chronic kidney disease (ckd) restrict individual nutrients, such as sodium, potassium, phosphorus, and protein."
hypertension,beans,safe,beans is nutritious and may help manage hypertension.
cvd,fruits,safe,"cvd can be prevented by some simple and cost-effective steps such as smoking cessation, normalizing body weight, regular physical activity, and dietary changes, including decreasing saturated fats, increasing the intake of vegetables and fruits, and reducing sugar intake."
allergy,nickel,dangerous,nickel is the most common cause of contact allergy in the general population and the most frequently detected allergen in patients patch tested for suspected allergic contact dermatitis (acd).
hypertension,lamb/goat/veal/venison,can worsen,lamb/goat/veal/venison with serving size 85.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,cheese,safe,cheese may support balanced diet for hypertension.
cvds,fruits,safe,accumulating epidemiological studies have indicated that consuming fruits was inversely related to the risk of cvds.
hypertension,bread,safe,bread may support balanced diet for hypertension.
stroke,native olive oil,safe,"the only evidence from randomised controlled trials is, that a mediterranean diet with nuts and/or native olive oil considerably reduces stroke risk by 47% respectively 31%, however not the risk of myocardial infarction and death."
type 2 diabetes,tea,safe,"tea is cultivated around the world, and its polysaccharide components are reported to be an effective approach for managing type 2 diabetes with fewer adverse effects than medication."
respiratory symptoms,flour,dangerous,flour mill workers are at high risk of developing respiratory symptoms due to exposure to flour dust in their working environment.
hypertension,milk,safe,milk is nutritious and may help manage hypertension.
ad,sugar,dangerous,"the origin of ad is multifactorial, and many metabolic disorders originating from overconsumption of fat, cholesterol, and sugar are associated with higher risk of ad later in life."
myocardial infarction,mediterranean diet,dangerous,the mediterranean diet (md) affects the risk of myocardial infarction and long-term prognosis after a coronary event.
inflammatory diseases,citrus aurantium l. (tpe-ca),safe,"total phenolic extracts of citrus aurantium l. (tpe-ca) are rich in dietary bioactive flavonoids, which show beneficial effects on liver health and are regarded as therapeutic tools against inflammatory diseases."
neurodegenerative disease,green tea,safe,"natural antioxidants from food sources and natural products such as resveratrol, curcumin, green tea polyphenols, and vitamin e are promising therapeutic agents in oxidative stress-mediated neurodegenerative disease as they have fewer adverse effects, more tolerable, cheaper, and sustainable for long term consumption."
osteoporosis,milk consumption,safe,milk consumption is an accepted strategy in building peak bone mass and therefore may reduce the risk of osteoporosis.
cancers,garlic,safe,there is a strong belief that garlic has medicinal properties and may even reduce the risk of developing certain cancers including those of the gastrointestinal tract.
urinary tract stones,millet,dangerous,"the predominant urinary tract stones in the tribal satpura belt are bladder stones and may be related to poor nutrition, low socioeconomic status and consumption of bajra (millet) as staple food as found in this region (93.5%)."
bone loss,regular-fish oil,safe,"the preventive effect of high-dose (9%) regular-fish oil (fo) against bone loss during aging has been demonstrated, but the effects of a low-dose (1%-4%) of a highly purified concentrated fo (cfo) has not been elucidated."
bone loss,high protein diets,dangerous,"high protein diets are believed to cause kidney stone formation and bone loss, but the mechanisms mediating these changes are unknown."
hypertension,dried fruit,safe,dried fruit is nutritious and may help manage hypertension.
prediabetes,egg omelet substitute,can worsen,egg omelet substitute with serving size 61.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,sussages,safe,sussages may support balanced diet for hypertension.
diabetes,dioscorea,safe,"yam (dioscorea spp.), known as an edible and medicinal tuber crop in china, has been used historically for the treatment of diabetes, diarrhea, asthma, and other ailments in traditional chinese medicine."
hypertension,carrots/pumpkin/squash/sweet potato/,can worsen,carrots/pumpkin/squash/sweet potato/ with serving size 72.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,beef,dangerous,beef is high in fat/sugar and may worsen prediabetes.
cancer,additives to food and water,safe,"environmental pollutants, such as pesticides, herbicides, additives to food and water, and electromagnetic fields threaten public health by promotion of cancer, heart disease and chronic diseases of aging."
hypertension,nuts,safe,nuts may support balanced diet for hypertension.
heart disease,meat protein,dangerous,meat protein is associated with an increase in risk of heart disease.
chd,food rich in saturated fat,dangerous,"the basis of this recommendation is the 'diet-heart hypothesis', which postulates that consumption of food rich in saturated fat increases serum cholesterol levels, which increases risk of chd."
prediabetes,sussages,can worsen,sussages with serving size 100.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
type ii diabetes,processed meat,dangerous,"the intake of processed meat has been associated with several adverse health outcomes such as type ii diabetes and cancer; however, the mechanisms are not fully understood."
obesity-linked metabolic diseases,blueberries,safe,"blueberry consumption can prevent obesity-linked metabolic diseases, and it has been proposed that the polyphenol content of blueberries may contribute to these effects."
fracture,milk,safe,"in adult caucasian women, daily intake of 200-250 ml of milk is associated with a reduction in fracture risk of 5 % or higher."
osteoarthritis,symptomatic slow-acting drugs,safe,evidence supports the use of glucosamine and chondroitin as symptomatic slow-acting drugs for osteoarthritis (sysadoas) with impact on oa symptoms and disease-modifying effects in the long term.
hypertension,high-salt ( hs ) diets,dangerous,high-salt (hs) diets are associated with hypertension and cardiac remodelling.
anemia,poor quality of the diets,dangerous,"these findings suggest that in rural china, anemia stems from the poor quality of the diets of infants/toddlers, rather than insufficient quantities of food being consumed."
food allergy,wheat,dangerous,"food allergy is a common disease caused by the intake of allergen-containing foods, such as milk, eggs, peanuts, and wheat."
hypertension,puerto rican style food,can worsen,puerto rican style food with serving size 250.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
osteoporosis,olive oil,safe,"the reported incidence of osteoporosis is lower in countries in which the mediterranean diet predominates, and this apparent relationship may be mediated by the phenolic compounds present in olive oil."
prediabetes,carrots/pumpkin/squash/sweet potato/,dangerous,carrots/pumpkin/squash/sweet potato/ is high in fat/sugar and may worsen prediabetes.
prediabetes,seeds,can worsen,seeds with serving size 30.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
cardiometabolic disease,soy foods,safe,"consumption of soy foods has been associated with protection against cardiometabolic disease, but the mechanisms are incompletely understood."
hyperglycaemia,maslinic acid,safe,"bredemolic acid (ba), an isomer of maslinic acid, has been reported to ameliorate the intermediate hyperglycaemia found in prediabetes; however, the effects of this triterpene on cardiovascular function have not yet been determined."
cognitive impairment,olive oil,safe,"the mediterranean diet (rich in fruits, vegetables, legumes, and olive oil, with regular fish consumption and low consumption of dairy products and meats) has been shown to reduce the incidence of mild cognitive impairment (mci) and, probably, the conversion of mci to dementia."
prediabetes,pancakes/waffles,can worsen,pancakes/waffles with serving size 140.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
coronary heart disease,red yeast rice,safe,"xuezhikang (xzk), an extract derived from red yeast rice, is commonly employed as a traditional chinese medicine for treating coronary heart disease, improving endothelial function, decreasing blood lipids and preventing other cardiovascular events both within china and globally."
chronic disease,nuts,safe,"although a high intake of plant foods such as fruits, vegetables, whole grains, nuts, and legumes has been recommended for chronic disease prevention, it has been unclear what is the optimal amount of intake of these foods and whether specific subtypes are particularly beneficial."
ad,nutrition,safe,"accumulating evidence suggests that nutrition (e.g., via fruit, vegetables, fish) is important for optimizing cognition and reducing risk of ad."
micronutrient malnutrition,low diet quality,dangerous,low diet quality is a driver of general and micronutrient malnutrition in urban and rural areas.
neurological diseases,cigarette smoke,dangerous,"exposure to cigarette smoke (cs) is associated with an increased risk of several neurological diseases such as stroke, alzheimer's disease, and dementia."
iron deficiency anemia,iron-fortified cereals,safe,iron-fortified cereals (ific) can contribute substantially in preventing iron deficiency anemia and maintaining an adequate body iron status.
ad,coffee beans,safe,"in addition, eicosanoyl-5-hydroxytryptamide (eht), a naturally occurring component from coffee beans that modulates pp2a methylation, was shown to confer therapeutic benefits in rodent models of ad and parkinson's disease."
prediabetes,shakes/drink mixes,safe,shakes/drink mixes may support balanced diet for prediabetes.
obesity,poor diet,dangerous,"poor diet is responsible for more deaths worldwide than any other risk factor, and is a leading cause of obesity, type 2 diabetes, and cardiovascular disease (cvd)."
asthma,fruits,safe,"fruits (cu) has long been used as a traditional medicine that has therapeutic effects against pathogenic diseases, including asthma, vomiting, dyspepsia, blood circulation disorders, and various types of cancer."
prediabetes,fish,can worsen,fish with serving size 85.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
allergy,shrimp,dangerous,"in 2.8% of the control group, the isac-test failed to detect an allergy sensitization caused by dust mite, shrimp, anisakis, or seed storage proteins."
anaemia,wheat flour,safe,fortification of wheat flour is deemed a useful strategy to reduce anaemia in populations.
glycemic,bread,dangerous,"bread is a staple food for majority of the people worldwide, but it has a high glycemic effect."
obesity,dairy products,safe,"efficiency of milk and dairy products in treatment of obesity, sclerosis and hypertension has been proved by dash diet."
allergy,hydrolyzed wheat products,dangerous,there are several reports describing allergy to hydrolyzed wheat products.
prediabetes,cereal,safe,cereal may support balanced diet for prediabetes.
multiple diseases,extra-virgin olive oil,safe,"epidemiological and clinical studies compellingly showed the ability of mediterranean diet rich in extra-virgin olive oil (evoo) to reduce multiple diseases such as cancer, cardiovascular diseases, and aging cognitive functions decline."
prediabetes,fruit and vegetable smoothie,can worsen,fruit and vegetable smoothie with serving size 233.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
ailments,ginger,safe,ginger (from the rizhome of zingiber officinale roscoe) has been widely used in ethnomedicine for the cure of several ailments.
diabetes,diet,safe,"prevention of diabetes through the diet has recently received an increasing interest, and polyphenolic compounds, such as flavanols, have become important potential chemopreventive natural agents due to their proved benefits on health, with low toxicity and cost."
neural tube defects,folic acid fortification,safe,there is no doubt that folic acid fortification can be effective for reducing the incidence of neural tube defects.
diabetes mellitus,ginger,safe,"ginger is an important medicinal herb has numerous bioactive components and is used in the management, control and/or treatment of diseases including diabetes mellitus."
lipemia,whey protein,safe,"recently, we demonstrated that whey protein (wp) combined with low dietary fiber improved lipemia, a risk factor for cardiovascular disease in subjects with abdominal obesity."
neurodegenerative diseases,curcuma longa,safe,"therefore, novel therapeutic strategies have long been investigated, where curcumin (curcuma longa) has shown some properties that can prevent the deleterious processes involved in neurodegenerative diseases."
hepatic damage of diabetes,grape seed procyanidin b2 ( gspb2 ),safe,our previous studies have verified that grape seed procyanidin b2 (gspb2) played a protective effect on hepatic damage of diabetes.
hypersensitivity,chemotherapy drugs,dangerous,"new symptoms of hypersensitivity caused by chemotherapy drugs, monoclonal antibodies, and biological agents have been suggested to be recognized as anaphylaxis phenotypes."
memory impairment,beer,safe,"we have previously demonstrated that iso-ãâãâãâãâ±-acids (iaas), the hop-derived bitter components in beer, improve memory impairment in aged and alzheimer's disease mouse models."
hypertension,apium graveolens,safe,"apium graveolens l. is a traditional chinese medicine prescribed as a treatment for hypertension, gout, and diabetes."
allergies,milk,dangerous,"allergies to peanuts are particularly worrisome as unlike allergies to other allergenic foods, such as milk and egg, which are commonly outgrown by 5 or 10 years of age, 80% of peanut allergies persist into adulthood."
cutis laxa,drugs,dangerous,"in most cases, acquired cutis laxa is associated with neoplasms, drugs, and autoimmune diseases."
allergic reactions,walnut,dangerous,"jug r 1, the major allergen of walnut, triggers severe allergic reactions through epitopes."
rhinitis,wheat flour,dangerous,sensitization to inhaled wheat flour may lead to occupational rhinitis and/or asthma.
prediabetes,fruit juice,can worsen,fruit juice with serving size 249.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
asthma,certain foods,safe,consumption of certain foods during pregnancy has been shown to have beneficial effects on childhood asthma and allergic disease development and aggravation.
intestinal anaphylaxis,peanut,dangerous,activation of the steroidogenic enzyme cyp11a1 was shown to be necessary for the development of peanut-induced intestinal anaphylaxis and il-13 production in allergic mice.
chronic diseases,sugar,dangerous,"epidemiological studies have shown that higher sugar-sweetened beverage consumption is associated with increased risk of developing chronic diseases, including cardiovascular disease, type 2 diabetes mellitus, obesity, non-alcoholic fatty liver disease, gout, and rheumatoid arthritis and to worse symptoms in some patients with rheumatoid arthritis."
human diseases,extra virgin olive oil,safe,"among the phenolic compounds extracted from extra virgin olive oil, oleocanthal (1) has attracted considerable attention in the modulation of many human diseases, such as inflammation and alzheimer's disease (ad)."
prediabetes,cream,can worsen,cream with serving size 32.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,fruit and vegetable smoothie,safe,fruit and vegetable smoothie is nutritious and may help manage hypertension.
pd,coffee,safe,"however, some evidence exists regarding a potential protective effect of uric acid, poly-unsaturated fatty acids, coffee, and tea but mainly in men, whereas dairy products, particularly milk, might increase pd risk through contaminant mediated effect."
dementia,alcoholic beverages,safe,moderate consumption of alcoholic beverages reduces the risk of dementia and cognitive decline.
pathogenic viral infections,functional foods,safe,"functional foods optimize the immune system capacity to prevent and control pathogenic viral infections, while physical activity augments such protective benefits."
prediabetes,chicken/turkey,safe,chicken/turkey may support balanced diet for prediabetes.
cardiovascular and cerebrovascular diseases,fruit,safe,fruit and vegetable consumption was considered a protective effect against cardiovascular and cerebrovascular diseases (cvds).
metabolic syndrome,citrus fruits,safe,citrus fruits are known for their beneficial health effects associated with the prevention of metabolic syndrome/type 2 diabetes that is mainly attributed to flavonoids.
obesity,fat and high-calorie foods,dangerous,"also, excessive intake of fat and high-calorie foods is also related to the development of obesity, which contributes to the development of cvd."
ovarian carcinoma,milk,dangerous,the intake of milk and milk products could increase the risk of ovarian carcinoma.
dementia,fruit,safe,"having at least three servings of vegetables and two servings of fruit a day could help prevent dementia in older adults, new research suggests."
hypertension,cereal,can worsen,cereal with serving size 55.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,grapefruit/lemon/orange,can worsen,grapefruit/lemon/orange with serving size 236.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
chronic diseases,nuts,safe,nuts have an appreciable antioxidant load and there is evidence of their positive effects on several chronic diseases incidence and death rates.
prediabetes,macaroni/noodle/pasta/rice,can worsen,macaroni/noodle/pasta/rice with serving size 176.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,tomato/salsa/,can worsen,tomato/salsa/ with serving size 123.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
migraine attacks,cabbage,dangerous,"migraine attacks have been produced most frequently by cow milk (in 10 out of 17 patients), cabbage, flour and eggs in 5 patients, preservatives, cottage and swiss cheese, porcine meat in 4 patients, colorants and chocolate in 3 patients, beef, strawberries, lemons and butter in 2 patients."
obesity,calorie-dense diet,dangerous,calorie-dense diet is a main driver of the global epidemics of obesity and type 2 diabetes (t2dm).
oral ulcers,eggplant,dangerous,"the most common foods reported as triggers for oral ulcers were eggplant (78.3%), melon (68.3%), walnut (68.2%), and cantaloupe (66.7%)."
colon cancer,crushed garlic,safe,"here, we identified z-ajoene, a sulfur containing compound isolated from crushed garlic, as an inhibitor of colon cancer cell growth."
alzheimer disease,ginger,safe,"components of ginger (zingiber officinale) extracts have been described as potential new drug candidates against alzheimer disease (ad), able to interact with several molecular targets related to the ad treatment."
neural tube birth defect,folic acid,safe,periconceptional intake of folic acid is known to reduce a woman's risk of having an infant affected by a neural tube birth defect (ntd).
hyperglycemia,zingiber officinale,safe,"[6]-gingerol, a major component of zingiber officinale, was previously reported to ameliorate hyperglycemia in type 2 diabetic mice."
coronary heart disease,fruits,safe,"adequate consumption of fruits and vegetables has protective benefits against development of coronary heart disease, hypertension and chronic obstructive pulmonary disease."
lifestyle-related diseases,grape extract (ge),safe,"grape extract (ge), which contains various polyphenolic compounds, exerts protective effects against lifestyle-related diseases, such as diabetes and hypertension."
hypertension,potato,safe,potato may support balanced diet for hypertension.
hypertension,pancakes/waffles,can worsen,pancakes/waffles with serving size 140.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
prediabetes,ice cream,can worsen,ice cream with serving size 130.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,pork,can worsen,pork with serving size 84.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
hypertension,fish,can worsen,fish with serving size 85.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
ailments,fruit of terminalia chebula,safe,"the fruit of terminalia chebula has been used extensively in various traditional health systems for different ailments, with additional preclinical and clinical data demonstrating antioxidant and anti-inflammatory potential."
hypercalciuria,calcium,dangerous,"although calcium supplementation can cause hypercalciuria, the risk of nephrolithiasis has been shown to decrease rather than increase among subjects who had a higher calcium intake."
epilepsy,ketogenic diet,safe,"first identified as a feasible treatment for intractable epilepsy, the ketogenic diet (kd) has recently gained popularity thanks to growing evidence on applications such as weight loss, most importantly, but also nafld, cancer, neurologic conditions and chronic pain."
vascular disease,extra-virgin olive oil,safe,"the authors base their hypothesis on meta-analyses of epidemiological data, numerous experimental studies, and a comprehensive review of the mechanisms of action of extra-virgin olive oil and its components in the prevention of vascular disease."
cancer,tea polyphenols,safe,"tea polyphenols are known to prevent various ailments like cancer, atherosclerosis, hypertension and diabetes."
ckd,olive oil,safe,"plant nutrients and plant-based diets could have beneficial effects in patients with ckd: increased fibre intake shifts the gut microbiota towards reduced production of uraemic toxins; plant fats, particularly olive oil, have anti-atherogenic effects; plant anions might mitigate metabolic acidosis and slow ckd progression; and as plant phosphorus has a lower bioavailability than animal phosphorus, plant-based diets might enable better control of hyperphosphataemia."
hypocitraturic recurrent stone formers,fresh tomato juice,safe,"fresh tomato juice may be useful in hypocitraturic recurrent stone formers due to its high content of citrate and magnesium, and low content of sodium and oxalate."
malignancies,extra-virgin olive oil,safe,"epidemiological studies have compellingly documented the ability of the mediterranean diet rich in extra-virgin olive oil to reduce the incidence of certain malignancies, and cardiovascular diseases, and slow the alzheimer's disease progression."
behavioral dysfunction,ginger,safe,our previous study suggests that ginger root extract can reverse behavioral dysfunction and prevent alzheimer's disease (ad)-like symptoms induced by the amyloid-ãâãâãâãâ² protein (aãâãâãâãâ²) in a rat model.
hypersensitivity,cereals,dangerous,hypersensitivity to cereals may occur via inhalation or ingestion.
cancer,spirulina platensis extracts,safe,spirulina platensis extracts have exhibited considerable anti-cancer effects.
weight loss,very-low-cho diets,dangerous,"historically, low-carbohydrate (cho) and very-low-cho diets have been used for weight loss."
"stomach, colorectal, breast cancer",garlic,safe,"evidence supports the protective effects of garlic in stomach, colorectal, breast cancer in humans."
cardiovascular disease,olive oil),safe,epidemiological studies suggest that a mediterranean diet (which is rich in virgin olive oil) decreases the risk of cardiovascular disease.
hypertension,crackers,can worsen,crackers with serving size 30.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
coronary heart disease,milk,safe,"numerous epidemiological studies have revealed that high consumption of milk and dairy products may have protective effects against coronary heart disease (chd), stroke, diabetes, certain cancers (such as colorectal and bladder cancers), and dementia, although the mechanisms of action are unclear."
allergy to buckwheat,buckwheat flour,dangerous,"three cooks, two bakers, and a worker in a grocery store were occupationally exposed to buckwheat flour and developed immediate allergy to buckwheat, which was confirmed by skin prick testing and measurement of specific immunoglobulin e antibodies."
joints pain,sesame oil,safe,sesame oil is an herbal product that has been used to treat the joints pain in several traditional medicines.
prediabetes,egg omelet,safe,egg omelet may support balanced diet for prediabetes.
obesity,ultra-processed food,dangerous,"ultra-processed food consumption has been associated with several health outcomes such as obesity, hypertension, cardiovascular disease and cancer."
gout,cherries,safe,"cherries, which are rich in anti-inflammatory and antioxidative bioactive compounds, are proposed to be efficacious in preventing and treating gout, but recommendations to patients are conflicting."
hypertension,fruit juice,can worsen,fruit juice with serving size 249.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
alzheimer's disease,olive oil,safe,olive oil is a major component of the mediterranean diet suggested to be beneficial to counteract alzheimer's disease.
allergy,cicer arietinum,dangerous,chickpea (cicer arietinum) allergy has frequently been reported particularly in spain and india.
hypertension,coffee/soda drink/iced tea,can worsen,coffee/soda drink/iced tea with serving size 240.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
allergy,almond,dangerous,oral food challenges have demonstrated that diagnosis of almond allergy based on extract-sige tests display low specificity.
prediabetes,coffee/soda drink/iced tea,dangerous,coffee/soda drink/iced tea is high in fat/sugar and may worsen prediabetes.
brain disorders,beer,safe,"beer, as part of this protective diet, contains compounds such as silicon and hops that could play a major role in preventing brain disorders."
inflammation,olives,safe,"consumption of olives (olea europaea l.), including table olives and oil, is associated with low incidence of inflammation-related diseases."
memory impairment,tomato fruit,safe,"ãâãâãâãâ²-amyrin, an ingredient of the surface wax of tomato fruit and dandelion coffee, is previously reported to ameliorate memory impairment induced by cholinergic dysfunction."
prediabetes,pork,can worsen,pork with serving size 84.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
"colon, lung, and skin cancers",garlic,safe,"diallyl disulfide (dads), a component of garlic (allium sativum), has been known to exert potent chemopreventative activity against colon, lung, and skin cancers."
prediabetes,"meat substitute, cereal- and vegetable protein-based, fried",dangerous,"meat substitute, cereal- and vegetable protein-based, fried is high in fat/sugar and may worsen prediabetes."
calcium oxalate urolithiasis,salt,dangerous,dietary excesses in animal protein and/or salt have been implicated as risk factors in calcium oxalate urolithiasis.
cognitive decline,bertholletia excelsa,safe,"previously, supplementation with a selenium-rich brazil nut (bertholletia excelsa) has shown potential in reducing cognitive decline in mci patients, and could prove to be a safe and effective nutritional approach early in the disease process to slow decline."
osteoporosis,gambogic acid,safe,"the nutraceuticals identified from dietary agents such as butein, cardamonin, coronarin d curcumin, diosgenin, embelin, gambogic acid, genistein, plumbagin, quercetin, reseveratrol, zerumbone and more, can modulate cell signaling pathways and reverse/slow down osteoporosis."
sci,mediterranean diet,safe,"the mediterranean diet, along with exercise and dietary supplements, has been suggested as an anti-inflammatory intervention in individuals with sci."
hypertension,cakes/cookies/pies,can worsen,cakes/cookies/pies with serving size 28.4g recorded in nhanes dietary data for hypertension and prediabetes patients.
asthma,fruit drinks,dangerous,", hfcs-sweetened soda, fruit drinks and apple juice - a high-fructose 100 % juice - are associated with asthma, possibly because of the high fructose:glucose ratios and underlying fructose malabsorption, which may contribute to enteral formation of pro-inflammatory advanced glycation end products, which bind receptors that are mediators of asthma."
senile dementia of alzheimer 's type,food additives,dangerous,"aluminum is a constituent of antacids, deodorants, kitchenware and food additives which allows easy access into the body posing risk to development of senile dementia of alzheimer's type."
heinz body hemolytic anemia,garlic,dangerous,", including garlic (a. sativum) and onions (a. cepa), are known to be oxidatively toxic to canine erythrocytes resulting in heinz body hemolytic anemia in dogs."
wound,curcuma longa,safe,"curcumin is a naturally occurring polyphenol found in curcuma longa with multiple therapeutic properties, such as anti-inflammatory, wound healing and anti-cancer effects."
prediabetes,lamb/goat/veal/venison,can worsen,lamb/goat/veal/venison with serving size 85.0g recorded in nhanes dietary data for hypertension and prediabetes patients.
postmenopausal osteoporosis,tea consumption,safe,"tea consumption has positive effects on the skeletal system and prevents postmenopausal osteoporosis, mainly by inhibiting osteoclastogenesis."
dementia,tofu,dangerous,"in older people in indonesia, hawai'i and china, tofu, which can contain high levels of phytoestrogens, was found to increase dementia risk."
alzheimer's disease,extra-virgin olive oil,safe,previous evidence suggested that extra-virgin olive oil (evoo) is linked to attenuating amyloid-ãâãâãâãâ² (aãâãâãâãâ²) pathology and improving cognitive function in alzheimer's disease (ad) mouse models.
cardiovascular disease,soy foods,safe,"epidemiological investigations have shown that consumption of soybeans or soy foods reduces the risk of the development of cardiovascular disease, cancer and osteoporosis."
