medicine,food,interaction,warning,explanation
diclofenac,avocado,safe,no major risk,Avocado with diclofenac generally poses no significant problem when consumed in moderation.
rivaroxaban,spinach soup,safe,no major risk,Spinach soup with rivaroxaban generally poses no significant problem when consumed in moderation.
ibuprofen,tempeh,safe,no major risk,Tempeh with ibuprofen generally poses no significant problem when consumed in moderation.
doxycycline,ice cream,risky,reduced absorption,Minerals in dairy can bind doxycycline and reduce absorption; separate dosing.
paracetamol,biryani,safe,no major risk,Biryani with paracetamol generally poses no significant problem when consumed in moderation.
simvastatin,kathi roll,safe,no major risk,Kathi roll with simvastatin generally poses no significant problem when consumed in moderation.
tranylcypromine,pomegranate juice,safe,no major risk,Pomegranate juice with tranylcypromine generally poses no significant problem when consumed in moderation.
amlodipine,aged cheese,safe,no major risk,Aged cheese with amlodipine generally poses no significant problem when consumed in moderation.
sertraline,banana,safe,no major risk,Banana with sertraline generally poses no significant problem when consumed in moderation.
ciprofloxacin,amla,safe,no major risk,Amla with ciprofloxacin generally poses no significant problem when consumed in moderation.
warfarin,rajma,safe,no major risk,Rajma with warfarin generally poses no significant problem when consumed in moderation.
diclofenac,ramen,safe,no major risk,Ramen with diclofenac generally poses no significant problem when consumed in moderation.
tranylcypromine,peda,safe,no major risk,Peda with tranylcypromine generally poses no significant problem when consumed in moderation.
lithium,cheese,safe,no major risk,Cheese with lithium generally poses no significant problem when consumed in moderation.
doxycycline,halwa,safe,no major risk,Halwa with doxycycline generally poses no significant problem when consumed in moderation.
paracetamol,bhujia,safe,no major risk,Bhujia with paracetamol generally poses no significant problem when consumed in moderation.
cyclosporine,grapes,safe,no major risk,Grapes with cyclosporine generally poses no significant problem when consumed in moderation.
fluoxetine,kachori,safe,no major risk,Kachori with fluoxetine generally poses no significant problem when consumed in moderation.
fexofenadine,grapefruit juice,risky,reduced effectiveness,Fruit juices can inhibit OATP transporters and reduce fexofenadine levels.
cyclosporine,laddu,safe,no major risk,Laddu with cyclosporine generally poses no significant problem when consumed in moderation.
venlafaxine,kachori,safe,no major risk,Kachori with venlafaxine generally poses no significant problem when consumed in moderation.
metformin,ghee,safe,no major risk,Ghee with metformin generally poses no significant problem when consumed in moderation.
dabigatran,kale,safe,no major risk,Kale with dabigatran generally poses no significant problem when consumed in moderation.
warfarin,st johns wort,safe,no major risk,St johns wort with warfarin generally poses no significant problem when consumed in moderation.
amitriptyline,paneer butter masala,safe,no major risk,Paneer butter masala with amitriptyline generally poses no significant problem when consumed in moderation.
cyclosporine,khichdi,safe,no major risk,Khichdi with cyclosporine generally poses no significant problem when consumed in moderation.
dabigatran,fermented tofu,safe,no major risk,Fermented tofu with dabigatran generally poses no significant problem when consumed in moderation.
valproate,kachori,safe,no major risk,Kachori with valproate generally poses no significant problem when consumed in moderation.
amoxicillin,carrot,safe,no major risk,Carrot with amoxicillin generally poses no significant problem when consumed in moderation.
fexofenadine,alcohol,safe,no major risk,Alcohol with fexofenadine generally poses no significant problem when consumed in moderation.
pantoprazole,jalebi,safe,no major risk,Jalebi with pantoprazole generally poses no significant problem when consumed in moderation.
itraconazole,chips,safe,no major risk,Chips with itraconazole generally poses no significant problem when consumed in moderation.
fluoxetine,paneer,safe,no major risk,Paneer with fluoxetine generally poses no significant problem when consumed in moderation.
ciprofloxacin,yogurt,risky,reduced absorption,Minerals in dairy can bind ciprofloxacin and reduce absorption; separate dosing.
omeprazole,black tea,safe,no major risk,Black tea with omeprazole generally poses no significant problem when consumed in moderation.
amoxicillin,oats,safe,no major risk,Oats with amoxicillin generally poses no significant problem when consumed in moderation.
atenolol,cheese,safe,no major risk,Cheese with atenolol generally poses no significant problem when consumed in moderation.
phenelzine,kheer,safe,no major risk,Kheer with phenelzine generally poses no significant problem when consumed in moderation.
losartan,dates,risky,raises potassium,Dates is potassium-rich; ARBs can raise serum potassium.
ramipril,kadhi,safe,no major risk,Kadhi with ramipril generally poses no significant problem when consumed in moderation.
tacrolimus,laddu,safe,no major risk,Laddu with tacrolimus generally poses no significant problem when consumed in moderation.
amitriptyline,pickles,safe,no major risk,Pickles with amitriptyline generally poses no significant problem when consumed in moderation.
enoxaparin,chole,safe,no major risk,Chole with enoxaparin generally poses no significant problem when consumed in moderation.
amoxicillin,aged cheese,safe,no major risk,Aged cheese with amoxicillin generally poses no significant problem when consumed in moderation.
metoprolol,yogurt,safe,no major risk,Yogurt with metoprolol generally poses no significant problem when consumed in moderation.
ibuprofen,cheese,safe,no major risk,Cheese with ibuprofen generally poses no significant problem when consumed in moderation.
azithromycin,white rice,safe,no major risk,White rice with azithromycin generally poses no significant problem when consumed in moderation.
cetirizine,sweet potato,safe,no major risk,Sweet potato with cetirizine generally poses no significant problem when consumed in moderation.
pioglitazone,bread,safe,no major risk,Bread with pioglitazone generally poses no significant problem when consumed in moderation.
heparin,chole,safe,no major risk,Chole with heparin generally poses no significant problem when consumed in moderation.
atorvastatin,white rice,safe,no major risk,White rice with atorvastatin generally poses no significant problem when consumed in moderation.
nitrofurantoin,licorice,safe,no major risk,Licorice with nitrofurantoin generally poses no significant problem when consumed in moderation.
metronidazole,sweet potato,safe,no major risk,Sweet potato with metronidazole generally poses no significant problem when consumed in moderation.
glimepiride,sev,safe,no major risk,Sev with glimepiride generally poses no significant problem when consumed in moderation.
diclofenac,samosa,risky,stomach irritation,Samosa with diclofenac may increase gastric irritation or bleeding risk.
rosuvastatin,paratha,safe,no major risk,Paratha with rosuvastatin generally poses no significant problem when consumed in moderation.
metoprolol,white rice,safe,no major risk,White rice with metoprolol generally poses no significant problem when consumed in moderation.
tetracycline,curd rice,safe,no major risk,Curd rice with tetracycline generally poses no significant problem when consumed in moderation.
fluconazole,carrot,safe,no major risk,Carrot with fluconazole generally poses no significant problem when consumed in moderation.
ketoconazole,spring rolls,safe,no major risk,Spring rolls with ketoconazole generally poses no significant problem when consumed in moderation.
diclofenac,coffee,risky,stomach irritation,Coffee with diclofenac may increase gastric irritation or bleeding risk.
telmisartan,khichdi,safe,no major risk,Khichdi with telmisartan generally poses no significant problem when consumed in moderation.
doxycycline,spinach,safe,no major risk,Spinach with doxycycline generally poses no significant problem when consumed in moderation.
pioglitazone,rasmalai,safe,no major risk,Rasmalai with pioglitazone generally poses no significant problem when consumed in moderation.
phenytoin,halwa,safe,no major risk,Halwa with phenytoin generally poses no significant problem when consumed in moderation.
nitrofurantoin,kheer,safe,no major risk,Kheer with nitrofurantoin generally poses no significant problem when consumed in moderation.
ranitidine,leafy greens salad,safe,no major risk,Leafy greens salad with ranitidine generally poses no significant problem when consumed in moderation.
pantoprazole,butter chicken,safe,no major risk,Butter chicken with pantoprazole generally poses no significant problem when consumed in moderation.
rivaroxaban,kachori,safe,no major risk,Kachori with rivaroxaban generally poses no significant problem when consumed in moderation.
pravastatin,dates,safe,no major risk,Dates with pravastatin generally poses no significant problem when consumed in moderation.
losartan,coconut water,risky,raises potassium,Coconut water is potassium-rich; ARBs can raise serum potassium.
pantoprazole,brown rice,safe,no major risk,Brown rice with pantoprazole generally poses no significant problem when consumed in moderation.
sertraline,orange juice,safe,no major risk,Orange juice with sertraline generally poses no significant problem when consumed in moderation.
losartan,white rice,safe,no major risk,White rice with losartan generally poses no significant problem when consumed in moderation.
dabigatran,rasgulla,safe,no major risk,Rasgulla with dabigatran generally poses no significant problem when consumed in moderation.
metformin,kheer,risky,raises blood sugar,High-sugar foods like kheer can worsen glucose control while on metformin.
metformin,grapefruit juice,safe,no major risk,Grapefruit juice with metformin generally poses no significant problem when consumed in moderation.
ibuprofen,samosa,risky,stomach irritation,Samosa with ibuprofen may increase gastric irritation or bleeding risk.
fluoxetine,khichdi,safe,no major risk,Khichdi with fluoxetine generally poses no significant problem when consumed in moderation.
clarithromycin,alcohol,safe,no major risk,Alcohol with clarithromycin generally poses no significant problem when consumed in moderation.
glimepiride,multigrain roti,safe,no major risk,Multigrain roti with glimepiride generally poses no significant problem when consumed in moderation.
levetiracetam,mango,safe,no major risk,Mango with levetiracetam generally poses no significant problem when consumed in moderation.
telmisartan,maggi noodles,safe,no major risk,Maggi noodles with telmisartan generally poses no significant problem when consumed in moderation.
levetiracetam,dark chocolate,safe,no major risk,Dark chocolate with levetiracetam generally poses no significant problem when consumed in moderation.
isocarboxazid,sambar,safe,no major risk,Sambar with isocarboxazid generally poses no significant problem when consumed in moderation.
tetracycline,halwa,safe,no major risk,Halwa with tetracycline generally poses no significant problem when consumed in moderation.
magnesium supplements,ginger,safe,no major risk,Ginger with magnesium supplements generally poses no significant problem when consumed in moderation.
simvastatin,naan,safe,no major risk,Naan with simvastatin generally poses no significant problem when consumed in moderation.
rivaroxaban,coffee,safe,no major risk,Coffee with rivaroxaban generally poses no significant problem when consumed in moderation.
fluoxetine,spinach,safe,no major risk,Spinach with fluoxetine generally poses no significant problem when consumed in moderation.
heparin,whole wheat roti,safe,no major risk,Whole wheat roti with heparin generally poses no significant problem when consumed in moderation.
sertraline,edamame,safe,no major risk,Edamame with sertraline generally poses no significant problem when consumed in moderation.
paracetamol,kathi roll,safe,no major risk,Kathi roll with paracetamol generally poses no significant problem when consumed in moderation.
metronidazole,fermented tofu,safe,no major risk,Fermented tofu with metronidazole generally poses no significant problem when consumed in moderation.
isocarboxazid,avocado,safe,no major risk,Avocado with isocarboxazid generally poses no significant problem when consumed in moderation.
fluconazole,cranberry,safe,no major risk,Cranberry with fluconazole generally poses no significant problem when consumed in moderation.
diclofenac,yogurt,safe,no major risk,Yogurt with diclofenac generally poses no significant problem when consumed in moderation.
digoxin,spinach,safe,no major risk,Spinach with digoxin generally poses no significant problem when consumed in moderation.
ramipril,avocado,risky,raises potassium,Avocado is high in potassium; ACE inhibitors may increase hyperkalemia risk.
magnesium supplements,peda,safe,no major risk,Peda with magnesium supplements generally poses no significant problem when consumed in moderation.
sitagliptin,tofu,safe,no major risk,Tofu with sitagliptin generally poses no significant problem when consumed in moderation.
ranitidine,cranberry,safe,no major risk,Cranberry with ranitidine generally poses no significant problem when consumed in moderation.
levothyroxine,spinach soup,safe,no major risk,Spinach soup with levothyroxine generally poses no significant problem when consumed in moderation.
doxycycline,st johns wort,safe,no major risk,St johns wort with doxycycline generally poses no significant problem when consumed in moderation.
tetracycline,tofu,safe,no major risk,Tofu with tetracycline generally poses no significant problem when consumed in moderation.
nitrofurantoin,edamame,safe,no major risk,Edamame with nitrofurantoin generally poses no significant problem when consumed in moderation.
nitrofurantoin,yogurt,safe,no major risk,Yogurt with nitrofurantoin generally poses no significant problem when consumed in moderation.
atenolol,khichdi,safe,no major risk,Khichdi with atenolol generally poses no significant problem when consumed in moderation.
metformin,dal makhani,safe,no major risk,Dal makhani with metformin generally poses no significant problem when consumed in moderation.
nitrofurantoin,dried apricots,safe,no major risk,Dried apricots with nitrofurantoin generally poses no significant problem when consumed in moderation.
aspirin,kheer,safe,no major risk,Kheer with aspirin generally poses no significant problem when consumed in moderation.
aspirin,broccoli,safe,no major risk,Broccoli with aspirin generally poses no significant problem when consumed in moderation.
doxycycline,upma,safe,no major risk,Upma with doxycycline generally poses no significant problem when consumed in moderation.
levetiracetam,milk,safe,no major risk,Milk with levetiracetam generally poses no significant problem when consumed in moderation.
apixaban,paneer,safe,no major risk,Paneer with apixaban generally poses no significant problem when consumed in moderation.
ibuprofen,chips,safe,no major risk,Chips with ibuprofen generally poses no significant problem when consumed in moderation.
ramipril,veg biryani,safe,no major risk,Veg biryani with ramipril generally poses no significant problem when consumed in moderation.
fluconazole,sambar,safe,no major risk,Sambar with fluconazole generally poses no significant problem when consumed in moderation.
lisinopril,dates,risky,raises potassium,Dates is high in potassium; ACE inhibitors may increase hyperkalemia risk.
lithium,licorice,safe,no major risk,Licorice with lithium generally poses no significant problem when consumed in moderation.
metformin,sev,safe,no major risk,Sev with metformin generally poses no significant problem when consumed in moderation.
pantoprazole,orange juice,safe,no major risk,Orange juice with pantoprazole generally poses no significant problem when consumed in moderation.
ramipril,grapefruit juice,safe,no major risk,Grapefruit juice with ramipril generally poses no significant problem when consumed in moderation.
naproxen,garlic,safe,no major risk,Garlic with naproxen generally poses no significant problem when consumed in moderation.
doxycycline,licorice,safe,no major risk,Licorice with doxycycline generally poses no significant problem when consumed in moderation.
amlodipine,ice cream,safe,no major risk,Ice cream with amlodipine generally poses no significant problem when consumed in moderation.
esomeprazole,rasmalai,safe,no major risk,Rasmalai with esomeprazole generally poses no significant problem when consumed in moderation.
rosuvastatin,multigrain roti,safe,no major risk,Multigrain roti with rosuvastatin generally poses no significant problem when consumed in moderation.
azithromycin,chole,safe,no major risk,Chole with azithromycin generally poses no significant problem when consumed in moderation.
pioglitazone,garlic,safe,no major risk,Garlic with pioglitazone generally poses no significant problem when consumed in moderation.
atorvastatin,avocado,safe,no major risk,Avocado with atorvastatin generally poses no significant problem when consumed in moderation.
losartan,alcohol,safe,no major risk,Alcohol with losartan generally poses no significant problem when consumed in moderation.
calcium supplements,khichdi,safe,no major risk,Khichdi with calcium supplements generally poses no significant problem when consumed in moderation.
phenytoin,spinach soup,safe,no major risk,Spinach soup with phenytoin generally poses no significant problem when consumed in moderation.
ibuprofen,paratha,safe,no major risk,Paratha with ibuprofen generally poses no significant problem when consumed in moderation.
apixaban,chips,safe,no major risk,Chips with apixaban generally poses no significant problem when consumed in moderation.
carbamazepine,butter chicken,safe,no major risk,Butter chicken with carbamazepine generally poses no significant problem when consumed in moderation.
simvastatin,gulab jamun,safe,no major risk,Gulab jamun with simvastatin generally poses no significant problem when consumed in moderation.
tacrolimus,mysore pak,safe,no major risk,Mysore pak with tacrolimus generally poses no significant problem when consumed in moderation.
pravastatin,kheer,safe,no major risk,Kheer with pravastatin generally poses no significant problem when consumed in moderation.
glimepiride,paratha,safe,no major risk,Paratha with glimepiride generally poses no significant problem when consumed in moderation.
ibuprofen,coffee,risky,stomach irritation,Coffee with ibuprofen may increase gastric irritation or bleeding risk.
losartan,pakora,safe,no major risk,Pakora with losartan generally poses no significant problem when consumed in moderation.
levothyroxine,rasmalai,safe,no major risk,Rasmalai with levothyroxine generally poses no significant problem when consumed in moderation.
paracetamol,bitter gourd,safe,no major risk,Bitter gourd with paracetamol generally poses no significant problem when consumed in moderation.
itraconazole,fermented tofu,safe,no major risk,Fermented tofu with itraconazole generally poses no significant problem when consumed in moderation.
simvastatin,pasta,safe,no major risk,Pasta with simvastatin generally poses no significant problem when consumed in moderation.
tacrolimus,french fries,safe,no major risk,French fries with tacrolimus generally poses no significant problem when consumed in moderation.
amlodipine,banana,safe,no major risk,Banana with amlodipine generally poses no significant problem when consumed in moderation.
telmisartan,grapefruit juice,safe,no major risk,Grapefruit juice with telmisartan generally poses no significant problem when consumed in moderation.
fluoxetine,kimchi,safe,no major risk,Kimchi with fluoxetine generally poses no significant problem when consumed in moderation.
naproxen,banana,safe,no major risk,Banana with naproxen generally poses no significant problem when consumed in moderation.
levetiracetam,quinoa,safe,no major risk,Quinoa with levetiracetam generally poses no significant problem when consumed in moderation.
insulin,kadhi,safe,no major risk,Kadhi with insulin generally poses no significant problem when consumed in moderation.
heparin,coconut water,safe,no major risk,Coconut water with heparin generally poses no significant problem when consumed in moderation.
glimepiride,white rice,safe,no major risk,White rice with glimepiride generally poses no significant problem when consumed in moderation.
simvastatin,turmeric latte,safe,no major risk,Turmeric latte with simvastatin generally poses no significant problem when consumed in moderation.
rosuvastatin,green tea,safe,no major risk,Green tea with rosuvastatin generally poses no significant problem when consumed in moderation.
ciprofloxacin,dosa,safe,no major risk,Dosa with ciprofloxacin generally poses no significant problem when consumed in moderation.
pioglitazone,peda,safe,no major risk,Peda with pioglitazone generally poses no significant problem when consumed in moderation.
phenelzine,kachori,safe,no major risk,Kachori with phenelzine generally poses no significant problem when consumed in moderation.
heparin,poha,safe,no major risk,Poha with heparin generally poses no significant problem when consumed in moderation.
amlodipine,mysore pak,safe,no major risk,Mysore pak with amlodipine generally poses no significant problem when consumed in moderation.
naproxen,mutton curry,safe,no major risk,Mutton curry with naproxen generally poses no significant problem when consumed in moderation.
ramipril,potato,risky,raises potassium,Potato is high in potassium; ACE inhibitors may increase hyperkalemia risk.
amoxicillin,beetroot,safe,no major risk,Beetroot with amoxicillin generally poses no significant problem when consumed in moderation.
citalopram,multigrain roti,safe,no major risk,Multigrain roti with citalopram generally poses no significant problem when consumed in moderation.
itraconazole,ghee,safe,no major risk,Ghee with itraconazole generally poses no significant problem when consumed in moderation.
amlodipine,fermented tofu,safe,no major risk,Fermented tofu with amlodipine generally poses no significant problem when consumed in moderation.
pantoprazole,sambar,safe,no major risk,Sambar with pantoprazole generally poses no significant problem when consumed in moderation.
ciprofloxacin,grapes,safe,no major risk,Grapes with ciprofloxacin generally poses no significant problem when consumed in moderation.
isocarboxazid,paratha,safe,no major risk,Paratha with isocarboxazid generally poses no significant problem when consumed in moderation.
amlodipine,peda,safe,no major risk,Peda with amlodipine generally poses no significant problem when consumed in moderation.
bupropion,raisins,safe,no major risk,Raisins with bupropion generally poses no significant problem when consumed in moderation.
atorvastatin,curd rice,safe,no major risk,Curd rice with atorvastatin generally poses no significant problem when consumed in moderation.
sitagliptin,carrot,safe,no major risk,Carrot with sitagliptin generally poses no significant problem when consumed in moderation.
losartan,sweet potato,risky,raises potassium,Sweet potato is potassium-rich; ARBs can raise serum potassium.
esomeprazole,poha,safe,no major risk,Poha with esomeprazole generally poses no significant problem when consumed in moderation.
rosuvastatin,grapefruit juice,safe,no major risk,Grapefruit juice with rosuvastatin generally poses no significant problem when consumed in moderation.
ciprofloxacin,milk,risky,reduced absorption,Dairy calcium binds ciprofloxacin reducing absorption; separate dosing.
amoxicillin,chole,safe,no major risk,Chole with amoxicillin generally poses no significant problem when consumed in moderation.
gliclazide,orange juice,safe,no major risk,Orange juice with gliclazide generally poses no significant problem when consumed in moderation.
phenytoin,kale,safe,no major risk,Kale with phenytoin generally poses no significant problem when consumed in moderation.
sertraline,jalebi,safe,no major risk,Jalebi with sertraline generally poses no significant problem when consumed in moderation.
atorvastatin,upma,safe,no major risk,Upma with atorvastatin generally poses no significant problem when consumed in moderation.
fluconazole,kale,safe,no major risk,Kale with fluconazole generally poses no significant problem when consumed in moderation.
cyclosporine,paneer butter masala,safe,no major risk,Paneer butter masala with cyclosporine generally poses no significant problem when consumed in moderation.
paracetamol,gulab jamun,safe,no major risk,Gulab jamun with paracetamol generally poses no significant problem when consumed in moderation.
levetiracetam,kachori,safe,no major risk,Kachori with levetiracetam generally poses no significant problem when consumed in moderation.
enoxaparin,spinach soup,safe,no major risk,Spinach soup with enoxaparin generally poses no significant problem when consumed in moderation.
paracetamol,cranberry,safe,no major risk,Cranberry with paracetamol generally poses no significant problem when consumed in moderation.
fexofenadine,beer,safe,no major risk,Beer with fexofenadine generally poses no significant problem when consumed in moderation.
azithromycin,poha,safe,no major risk,Poha with azithromycin generally poses no significant problem when consumed in moderation.
ramipril,fish curry,safe,no major risk,Fish curry with ramipril generally poses no significant problem when consumed in moderation.
bupropion,maggi noodles,safe,no major risk,Maggi noodles with bupropion generally poses no significant problem when consumed in moderation.
esomeprazole,paneer butter masala,safe,no major risk,Paneer butter masala with esomeprazole generally poses no significant problem when consumed in moderation.
iron supplements,milk,risky,reduced absorption,Calcium inhibits non-heme iron absorption; separate by 2 hours.
esomeprazole,chips,safe,no major risk,Chips with esomeprazole generally poses no significant problem when consumed in moderation.
digoxin,quinoa,safe,no major risk,Quinoa with digoxin generally poses no significant problem when consumed in moderation.
magnesium supplements,orange juice,safe,no major risk,Orange juice with magnesium supplements generally poses no significant problem when consumed in moderation.
theophylline,multigrain roti,safe,no major risk,Multigrain roti with theophylline generally poses no significant problem when consumed in moderation.
valproate,carrot,safe,no major risk,Carrot with valproate generally poses no significant problem when consumed in moderation.
pravastatin,grapefruit juice,safe,no major risk,Grapefruit juice with pravastatin generally poses no significant problem when consumed in moderation.
sertraline,peda,safe,no major risk,Peda with sertraline generally poses no significant problem when consumed in moderation.
levothyroxine,pasta,safe,no major risk,Pasta with levothyroxine generally poses no significant problem when consumed in moderation.
metformin,beer,safe,no major risk,Beer with metformin generally poses no significant problem when consumed in moderation.
lisinopril,fish curry,safe,no major risk,Fish curry with lisinopril generally poses no significant problem when consumed in moderation.
iron supplements,pickles,safe,no major risk,Pickles with iron supplements generally poses no significant problem when consumed in moderation.
citalopram,dal makhani,safe,no major risk,Dal makhani with citalopram generally poses no significant problem when consumed in moderation.
pantoprazole,mutton curry,safe,no major risk,Mutton curry with pantoprazole generally poses no significant problem when consumed in moderation.
sitagliptin,fish curry,safe,no major risk,Fish curry with sitagliptin generally poses no significant problem when consumed in moderation.
enoxaparin,dates,safe,no major risk,Dates with enoxaparin generally poses no significant problem when consumed in moderation.
sertraline,brown rice,safe,no major risk,Brown rice with sertraline generally poses no significant problem when consumed in moderation.
metformin,sambar,safe,no major risk,Sambar with metformin generally poses no significant problem when consumed in moderation.
amlodipine,spinach,safe,no major risk,Spinach with amlodipine generally poses no significant problem when consumed in moderation.
venlafaxine,st johns wort,safe,no major risk,St johns wort with venlafaxine generally poses no significant problem when consumed in moderation.
warfarin,sweet potato,safe,no major risk,Sweet potato with warfarin generally poses no significant problem when consumed in moderation.
warfarin,potato,safe,no major risk,Potato with warfarin generally poses no significant problem when consumed in moderation.
heparin,licorice,safe,no major risk,Licorice with heparin generally poses no significant problem when consumed in moderation.
rivaroxaban,fish curry,safe,no major risk,Fish curry with rivaroxaban generally poses no significant problem when consumed in moderation.
simvastatin,beetroot,safe,no major risk,Beetroot with simvastatin generally poses no significant problem when consumed in moderation.
ranitidine,coconut water,safe,no major risk,Coconut water with ranitidine generally poses no significant problem when consumed in moderation.
cetirizine,amla,safe,no major risk,Amla with cetirizine generally poses no significant problem when consumed in moderation.
enoxaparin,coconut water,safe,no major risk,Coconut water with enoxaparin generally poses no significant problem when consumed in moderation.
tacrolimus,dal makhani,safe,no major risk,Dal makhani with tacrolimus generally poses no significant problem when consumed in moderation.
doxycycline,cheese,risky,reduced absorption,Minerals in dairy can bind doxycycline and reduce absorption; separate dosing.
azithromycin,orange juice,safe,no major risk,Orange juice with azithromycin generally poses no significant problem when consumed in moderation.
aspirin,ghee,safe,no major risk,Ghee with aspirin generally poses no significant problem when consumed in moderation.
metformin,gulab jamun,risky,raises blood sugar,High-sugar foods like gulab jamun can worsen glucose control while on metformin.
phenelzine,fermented tofu,dangerous,hypertensive crisis,Tyramine in fermented tofu can cause severe hypertension with MAOIs like phenelzine.
pravastatin,samosa,safe,no major risk,Samosa with pravastatin generally poses no significant problem when consumed in moderation.
itraconazole,dosa,safe,no major risk,Dosa with itraconazole generally poses no significant problem when consumed in moderation.
valproate,energy drink,safe,no major risk,Energy drink with valproate generally poses no significant problem when consumed in moderation.
pantoprazole,rasmalai,safe,no major risk,Rasmalai with pantoprazole generally poses no significant problem when consumed in moderation.
diclofenac,pasta,safe,no major risk,Pasta with diclofenac generally poses no significant problem when consumed in moderation.
loratadine,ice cream,safe,no major risk,Ice cream with loratadine generally poses no significant problem when consumed in moderation.
loratadine,bread,safe,no major risk,Bread with loratadine generally poses no significant problem when consumed in moderation.
isocarboxazid,sauerkraut,dangerous,hypertensive crisis,Tyramine in sauerkraut can cause severe hypertension with MAOIs like isocarboxazid.
paracetamol,leafy greens salad,safe,no major risk,Leafy greens salad with paracetamol generally poses no significant problem when consumed in moderation.
naproxen,poha,safe,no major risk,Poha with naproxen generally poses no significant problem when consumed in moderation.
apixaban,palak paneer,safe,no major risk,Palak paneer with apixaban generally poses no significant problem when consumed in moderation.
metformin,turmeric latte,safe,no major risk,Turmeric latte with metformin generally poses no significant problem when consumed in moderation.
fluoxetine,milk,safe,no major risk,Milk with fluoxetine generally poses no significant problem when consumed in moderation.
bupropion,kheer,safe,no major risk,Kheer with bupropion generally poses no significant problem when consumed in moderation.
digoxin,samosa,safe,no major risk,Samosa with digoxin generally poses no significant problem when consumed in moderation.
levothyroxine,coffee,risky,reduced absorption,Coffee may reduce levothyroxine absorption; take on empty stomach.
cetirizine,ramen,safe,no major risk,Ramen with cetirizine generally poses no significant problem when consumed in moderation.
loratadine,pomegranate juice,safe,no major risk,Pomegranate juice with loratadine generally poses no significant problem when consumed in moderation.
tetracycline,coconut water,safe,no major risk,Coconut water with tetracycline generally poses no significant problem when consumed in moderation.
enoxaparin,banana,safe,no major risk,Banana with enoxaparin generally poses no significant problem when consumed in moderation.
itraconazole,gulab jamun,safe,no major risk,Gulab jamun with itraconazole generally poses no significant problem when consumed in moderation.
simvastatin,laddu,safe,no major risk,Laddu with simvastatin generally poses no significant problem when consumed in moderation.
pravastatin,paneer,safe,no major risk,Paneer with pravastatin generally poses no significant problem when consumed in moderation.
insulin,upma,safe,no major risk,Upma with insulin generally poses no significant problem when consumed in moderation.
atenolol,brown rice,safe,no major risk,Brown rice with atenolol generally poses no significant problem when consumed in moderation.
diclofenac,halwa,safe,no major risk,Halwa with diclofenac generally poses no significant problem when consumed in moderation.
tranylcypromine,bitter gourd,safe,no major risk,Bitter gourd with tranylcypromine generally poses no significant problem when consumed in moderation.
esomeprazole,naan,safe,no major risk,Naan with esomeprazole generally poses no significant problem when consumed in moderation.
pioglitazone,dried apricots,safe,no major risk,Dried apricots with pioglitazone generally poses no significant problem when consumed in moderation.
digoxin,pulao,safe,no major risk,Pulao with digoxin generally poses no significant problem when consumed in moderation.
aspirin,leafy greens salad,safe,no major risk,Leafy greens salad with aspirin generally poses no significant problem when consumed in moderation.
omeprazole,ginger,safe,no major risk,Ginger with omeprazole generally poses no significant problem when consumed in moderation.
theophylline,dosa,safe,no major risk,Dosa with theophylline generally poses no significant problem when consumed in moderation.
ketoconazole,licorice,safe,no major risk,Licorice with ketoconazole generally poses no significant problem when consumed in moderation.
dabigatran,leafy greens salad,safe,no major risk,Leafy greens salad with dabigatran generally poses no significant problem when consumed in moderation.
azithromycin,paneer butter masala,safe,no major risk,Paneer butter masala with azithromycin generally poses no significant problem when consumed in moderation.
ketoconazole,curd rice,safe,no major risk,Curd rice with ketoconazole generally poses no significant problem when consumed in moderation.
calcium supplements,orange juice,safe,no major risk,Orange juice with calcium supplements generally poses no significant problem when consumed in moderation.
heparin,sweet potato,safe,no major risk,Sweet potato with heparin generally poses no significant problem when consumed in moderation.
apixaban,paratha,safe,no major risk,Paratha with apixaban generally poses no significant problem when consumed in moderation.
isocarboxazid,sweet potato,safe,no major risk,Sweet potato with isocarboxazid generally poses no significant problem when consumed in moderation.
ciprofloxacin,peda,safe,no major risk,Peda with ciprofloxacin generally poses no significant problem when consumed in moderation.
losartan,spring rolls,safe,no major risk,Spring rolls with losartan generally poses no significant problem when consumed in moderation.
isocarboxazid,dal makhani,safe,no major risk,Dal makhani with isocarboxazid generally poses no significant problem when consumed in moderation.
amoxicillin,momos,safe,no major risk,Momos with amoxicillin generally poses no significant problem when consumed in moderation.
simvastatin,maggi noodles,safe,no major risk,Maggi noodles with simvastatin generally poses no significant problem when consumed in moderation.
theophylline,bhujia,safe,no major risk,Bhujia with theophylline generally poses no significant problem when consumed in moderation.
metoprolol,spring rolls,safe,no major risk,Spring rolls with metoprolol generally poses no significant problem when consumed in moderation.
pioglitazone,pakora,safe,no major risk,Pakora with pioglitazone generally poses no significant problem when consumed in moderation.
rivaroxaban,brown rice,safe,no major risk,Brown rice with rivaroxaban generally poses no significant problem when consumed in moderation.
clopidogrel,halwa,safe,no major risk,Halwa with clopidogrel generally poses no significant problem when consumed in moderation.
cetirizine,paratha,safe,no major risk,Paratha with cetirizine generally poses no significant problem when consumed in moderation.
tacrolimus,white rice,safe,no major risk,White rice with tacrolimus generally poses no significant problem when consumed in moderation.
enoxaparin,dark chocolate,safe,no major risk,Dark chocolate with enoxaparin generally poses no significant problem when consumed in moderation.
